	alpelisib_1_72_cytosol	alpelisib_3.1623_72_cytosol	alpelisib_0.31623_72_cytosol	alpelisib_0.031623_72_cytosol	alpelisib_0.01_72_cytosol	alpelisib_10_72_cytosol	alpelisib_0.1_72_cytosol	alpelisib_1_72_nucleus	alpelisib_3.1623_72_nucleus	alpelisib_0.31623_72_nucleus	alpelisib_0.031623_72_nucleus	alpelisib_0.01_72_nucleus	alpelisib_10_72_nucleus	alpelisib_0.1_72_nucleus
RP-Ap32	-0.43425759	-0.35245531	-0.46491934	-0.49512264	-0.46804015	-0.36525128	-0.49100329	 0.55195519	 0.13433687	 1.00107342	-0.08116343	-0.07227199	 0.24541178	 1.23499210
Rb(pS807;pS811)	-0.2543172	-0.2433918	-0.2636535	-0.2569637	-0.3138937	-0.4238715	-0.3412245	 0.8252831	 0.3559811	 0.6654421	 0.6627825	 0.2874998	 0.1232056	 0.5935542
H3(pS10)	-0.07408914	-0.07027020	-0.07283464	-0.06540463	-0.08325041	-0.09170204	-0.08585361	 0.07711959	 0.10628212	 0.07082059	 0.11744576	 0.08377951	 0.06946433	 0.07618951
E2F-1	-0.360629150	-0.221431471	-0.395999972	-0.392053757	-0.432671183	-0.358735013	-0.431326787	 0.254831306	 0.297063062	 0.106036748	 0.539242833	 0.051696358	 1.319056488	 0.004026721
FOXO1a	 0.0587041	-0.1695676	-0.2639620	-0.3389894	-0.5145053	-0.5148007	-0.5753351	 0.1303042	 0.1093688	-0.5792397	 0.5808181	 0.4481812	 0.4038989	-0.5588439
c-Myc	-0.13343141	-0.14938699	-0.14133389	-0.14242662	-0.20305189	-0.21473227	-0.21781516	 0.61810556	 0.86933449	 0.03509044	 0.63060178	 0.85459380	 0.26106691	-0.03351457
Actin	 0.260721949	 0.474747241	-0.113499321	-0.314047131	-0.376882251	 0.007930416	-0.546462691	-0.151398582	-0.163691233	-0.346769287	 0.282853677	-0.348134844	 0.897964844	-0.497282201
p53	-0.22290527	-0.33887794	-0.30693183	-0.30063541	-0.24899718	-0.17969187	-0.32165772	 0.43297926	 0.03738866	 0.84942058	 0.09396480	 0.06582589	-0.01358817	 0.99033405
p21	-0.29177468	-0.27915157	-0.27576995	-0.26621161	-0.26299274	-0.31561673	-0.28299296	 0.06463765	-0.12118530	 0.15196107	 0.22885964	 0.17705782	-0.05397717	 0.23500921
p27Kip1	-0.24700225	-0.21632355	-0.24996856	-0.24617097	-0.27044918	-0.26564080	-0.27338060	 0.08054886	 0.04429709	-0.05957571	 1.09553028	 0.44993059	 0.65974363	-0.14343832
S6(pS235;pS236)	 1.12546843	-0.42714609	 0.53827392	 0.42090878	-0.07607935	-0.51098700	-0.13170492	-0.36736284	-0.41578493	-0.53387096	 0.13294121	-0.05776580	-0.49410608	-0.57874953
H2A.X(pS139)	-0.1403014	-0.1359040	-0.1425273	-0.1255848	-0.1537801	-0.1519786	-0.1567358	 0.2535922	 0.1486233	-0.1059051	 0.9436355	 0.2856473	 0.4696479	-0.1296807
Cyclin-E1	-0.19459180	-0.17820331	-0.21370178	-0.19055506	-0.28668540	-0.30290106	-0.31225345	 0.37133638	 0.28570202	-0.09693845	 0.55970364	 0.51281595	 0.25148994	-0.14316171
HCSCellMaskDeepRed	-0.20213489	 0.09941736	-0.14073886	-0.25426508	-0.69756928	-0.39627331	-0.71791048	 0.04087858	 0.26566440	-0.47512399	-0.14345013	 0.07996836	 0.48811824	-0.42528650
FOXO3a	-0.07745377	-0.07538273	-0.26560501	-0.32261254	-0.38719149	-0.01997493	-0.41580124	-0.09100871	-0.01633518	-0.10894567	-0.21245593	-0.16121739	 0.36912126	-0.25858266
ERK-1/ERK-2*	 0.24910739	-0.01253820	-0.12840652	-0.21742676	-0.07912653	-0.01158494	-0.17707431	-0.13829501	 0.03903814	-0.20006053	-0.24034588	-0.04684893	 0.17664284	-0.16869756
Cyclin-D1	-0.29490239	-0.30350079	-0.32692623	-0.34727462	-0.36343289	-0.41502775	-0.41013450	 0.25158887	 0.20864679	 0.04539311	 0.44019184	 0.10944562	 0.50336732	 0.04462431
KI-67	-0.09206701	-0.34050793	-0.12089761	-0.13341214	-0.17917316	-0.38053277	-0.21862850	 1.15836400	 0.43529935	 0.90538582	 1.20494555	 0.60593835	 0.09233997	 0.78516347
EGFR	 0.68191215	-0.26118217	 0.37473180	 0.44684432	-0.30546889	-0.58301833	-0.33407061	-0.31137380	-0.37783232	-0.57253146	 0.11089280	 0.04572131	-0.45561515	-0.59140821
PCNA	-0.19357442	-0.31582401	-0.20793074	-0.17358163	-0.35654570	-0.48527685	-0.41524831	 0.91821013	 0.60532947	 0.19925485	 1.74822607	 0.88142999	 0.49286740	 0.05665635
MitoTrackerGreen	-0.23258393	-0.06155546	-0.15658521	-0.26545068	-0.12918493	 0.41508284	-0.15880411	-0.31038099	-0.19677099	-0.14456642	-0.49498459	-0.17597007	 0.13178545	-0.30145459
