	dasatinib_0.1_72_cytosol	dasatinib_1_72_cytosol	dasatinib_3.1623_72_cytosol	dasatinib_0.31623_72_cytosol	dasatinib_0.01_72_cytosol	dasatinib_10_72_cytosol	dasatinib_0.031623_72_cytosol	dasatinib_0.1_72_nucleus	dasatinib_1_72_nucleus	dasatinib_3.1623_72_nucleus	dasatinib_0.31623_72_nucleus	dasatinib_0.01_72_nucleus	dasatinib_10_72_nucleus	dasatinib_0.031623_72_nucleus
RP.Ap32.ratIgG.H.L.	-0.03547283	-0.27716219	-0.25866746	-0.03278704	-0.52755508	-0.03689322	-0.36092919	 1.14456836	 3.14452876	 0.56289523	 2.15348094	 1.42077561	-0.62474709	-0.09846533
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.22446187	-0.39438507	-0.41763504	-0.39659792	-0.32842004	-0.52052587	-0.36904868	 0.72377774	-0.03620083	-0.56144575	 0.46986344	 0.54082788	-0.61932560	-0.01259194
H3.pS10.	-0.029824911	-0.045988014	-0.005659504	-0.047211104	-0.073765174	-0.086794950	-0.058463965	 0.113951291	 0.041596954	-0.072402768	 0.119677697	 0.071409835	-0.083496914	 0.042483977
E2F.1	 0.02187503	-0.43313973	-0.29589539	-0.03451877	-0.46330309	-0.04170874	-0.31210354	 1.05634135	 2.40430475	 0.67326707	 2.28125916	 0.21850308	-0.43102678	 0.56448657
FOXO1a	 1.1222998	 1.5550145	 2.4051095	-0.2485529	-0.2040839	-0.8698740	-0.3967785	 3.0309269	 0.5210613	-1.1629732	 1.9628087	-0.2699039	-1.1082610	 1.1043351
c.Myc	-0.04171201	-0.08427147	 0.27378667	-0.15395110	-0.17150285	-0.20787954	-0.23219337	 1.32276975	 0.04937193	-0.52240094	 0.60392720	 0.15354765	-0.18878978	 1.34206414
Actin	 2.34082081	 4.93996756	 2.79462732	 1.63976894	-0.37238502	 1.67149579	 0.01169838	 2.05838707	 3.85640092	 1.05693166	 3.15447839	-0.34615859	-0.32743760	 0.25006699
p53.mouseIgG.H.L..goat	 0.143971253	 0.829147955	 0.870331003	 0.387294506	-0.340367122	 0.005680871	-0.328706650	 0.550795452	 1.519556576	-0.191523813	 1.347649243	 0.903357067	-0.661664066	-0.113033189
p21	-0.20059162	-0.28881390	-0.22180856	-0.18098051	-0.29767714	-0.28625725	-0.29684481	 0.13199223	 0.42349805	-0.25133619	 0.50383277	 0.12328217	-0.33296567	-0.03180513
p27Kip1	 0.0197496435	 0.2124266262	 0.5009997943	 0.0948124807	-0.2523426786	-0.0401336768	-0.2582669942	 1.7422742118	 1.3058595144	-0.1755319681	 1.6662858991	 0.0009868262	-0.1302838247	 1.0682367571
S6.pS235.pS236.	 0.119253792	-0.282536463	-0.394241995	-0.542764810	 1.357479496	-0.702824598	-0.609613481	 0.182701511	-0.449247983	-0.658612671	-0.211382533	-0.464887660	-0.649350530	-0.003549818
H2A.X.pS139.	-0.08785687	-0.09641804	 0.09025416	-0.10463774	-0.14238005	-0.02405376	-0.14843044	 0.95689871	 0.10047431	-0.05456455	 0.34159394	-0.07869395	-0.10468434	 0.28736691
Cyclin.E1	-0.11120569	-0.19334736	 0.08944720	-0.26244534	-0.26387728	-0.21118108	-0.32703620	 0.70030615	-0.08796763	-0.32504668	 0.30255925	-0.02744523	-0.27331034	 0.71752562
HCSCellMaskDeepRedReagent	 1.26305037	 1.23411634	 2.77094340	 0.28513417	-0.34920841	-0.36841716	-0.24190791	 2.86302627	 2.63236107	-0.06320823	 3.25195015	 0.07073273	-1.27855512	 0.93151692
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	 1.53307438	 3.18808691	 3.19223640	 2.31498880	-0.09371354	 1.58008748	 0.07270543	 1.48367909	 4.58984470	 1.04988461	 3.90861676	 0.02327273	-0.17386228	 0.15431101
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.62001025	 1.00902289	 0.30606333	 0.35248574	-0.14971354	-0.67273016	-0.01834116	 1.02798337	 2.18496248	 0.01792891	 2.25453019	-0.08602042	-0.41318267	 0.19175062
Cyclin.D1	 0.09287239	 0.14139009	 0.27876707	 0.04006313	-0.38842824	-0.39043536	-0.42856034	 1.15645409	 1.64468833	-0.12515187	 1.81550992	 0.11533741	-0.33715395	 0.56177475
KI.67	-0.1381308	-0.3052564	-0.4267441	-0.3666615	-0.1203694	-0.5460362	-0.4652429	 0.3821957	-0.3849512	-0.8192845	 0.1370245	 0.8188217	-0.8336860	 0.2185436
EGFR	 0.15284867	-0.25563318	-0.14848939	-0.59841772	 0.98094463	-0.77662554	-0.56026467	 0.56610892	-0.29577312	-0.67063314	 0.04583456	-0.49983020	-0.69320834	 0.21399132
PCNA	-0.1706088	-0.2122987	-0.3543420	-0.5243838	-0.2612180	-0.5956924	-0.5083080	 1.5619038	-0.4292935	-0.8998271	 0.2643866	 0.1692208	-0.9132745	 1.0687170
MitoTrackerGreenReagent	 0.25599822	 1.12131031	 3.79082425	 2.27333237	 0.07848305	 1.54469742	 0.66540766	 1.14773288	 4.72784404	 0.02754344	 3.69322863	-0.06278438	-1.21786152	 0.32713683
