	neratinib_0.01_24_cytosol	neratinib_0.031623_24_cytosol	neratinib_0.001_24_cytosol	neratinib_0.31623_24_cytosol	neratinib_0.0032_24_cytosol	neratinib_1_24_cytosol	neratinib_0.1_24_cytosol	neratinib_0.01_24_nucleus	neratinib_0.031623_24_nucleus	neratinib_0.001_24_nucleus	neratinib_0.31623_24_nucleus	neratinib_0.0032_24_nucleus	neratinib_1_24_nucleus	neratinib_0.1_24_nucleus
RP.Ap32.ratIgG.H.L.	-0.03454202	-0.17596649	-0.28159396	-0.44273723	-0.56569050	-0.30304361	-0.30844297	 0.35114768	 0.54450999	 0.34540306	 0.27148326	 0.13578561	 0.44605713	 0.54815096
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.06892346	-0.31670751	-0.12524148	-0.52645291	-0.38348076	-0.50799961	-0.45914185	 0.31772183	 0.25718247	 0.38307926	-0.66280526	 0.03785059	-0.69486546	-0.34257785
H3.pS10.	-0.02599263	-0.06014476	-0.01434109	-0.07354476	-0.05444018	-0.06865570	-0.07077098	-0.04816119	-0.03155883	-0.01176217	-0.12203146	-0.04064975	-0.15738142	-0.08453920
E2F.1	 0.142035840	-0.161652310	-0.212974916	-0.200676038	-0.461303435	-0.318454348	-0.154673932	-0.241028282	-0.016118495	 0.041915385	-0.005864932	-0.265634322	 0.040433210	-0.039113047
FOXO1a	 0.918556147	 0.479291706	 0.640075389	-0.154327988	 0.003847216	-0.491700907	-0.509714071	-0.581488423	-0.835638765	-0.684908741	-0.977435276	-0.928355267	-1.108367874	-1.121331740
c.Myc	-0.05485825	-0.09997755	-0.03068913	-0.12660053	-0.02506023	-0.15194717	-0.11834307	-0.51403787	-0.58177807	-0.49794932	-0.88574033	-0.70210408	-0.95819342	-0.91882937
Actin	 1.02023889	 0.94467012	 0.66960737	 0.14817808	 0.02300964	-0.25088505	-0.14752710	-0.49504543	-0.61936911	-0.59589486	-0.05330442	-0.92804033	-0.39105578	-0.62403841
p53.mouseIgG.H.L..goat	-0.29214897	-0.28769387	-0.35533066	-0.30823440	-0.42947293	-0.27088391	-0.30209993	-0.03326573	 0.19188234	-0.03257555	 0.13932308	 0.04999783	-0.03631407	 0.09851665
p21	-0.17312844	-0.24750882	-0.21080762	-0.29010211	-0.27517428	-0.24317898	-0.26729980	-0.22892631	-0.18575456	-0.05431436	-0.29807510	-0.18107479	-0.25869264	-0.25649529
p27Kip1	-0.01286890	-0.09787247	-0.13934458	-0.07956312	-0.20523829	-0.16672247	-0.17579164	-0.37970292	-0.29684165	-0.32280190	 0.00109691	-0.42525801	-0.13274261	-0.38723075
S6.pS235.pS236.	 0.1315438	-0.2955821	 0.1381603	-0.6566235	 0.7743153	-0.6933375	-0.6694048	-0.2210242	-0.5740694	-0.4894676	-0.7066998	-0.4084217	-0.7110889	-0.7092008
H2A.X.pS139.	 0.008537927	-0.066424648	-0.056659572	-0.140551012	-0.125366493	-0.131062924	-0.157327318	-0.348418172	-0.336721080	-0.303930505	-0.332549127	-0.394865005	-0.363567585	-0.434470296
Cyclin.E1	-0.1550018	-0.2403305	-0.1288462	-0.3140426	-0.1531599	-0.3299259	-0.2716396	-0.4993570	-0.4267865	-0.3621696	-0.5925782	-0.5219787	-0.6408078	-0.6138061
HCSCellMaskDeepRedReagent	-0.273465834	-0.020910113	 0.147571254	 0.199043582	 0.190874711	 0.009698198	 0.186314385	 0.256642863	 0.408917887	 1.087879055	 0.854384257	-0.164664395	 0.406784214	 0.220654683
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	-0.01967134	 0.12281680	-0.16573106	 0.64959542	-0.19069962	 0.29114499	 0.03744733	-0.84276109	-0.80262524	-0.85942838	 0.14188243	-0.94101428	 0.16670751	-0.58003349
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.06401059	-0.33382175	-0.03433730	-0.84824511	 0.37544347	-0.74316373	-0.46818975	-0.61132661	-0.90692988	-0.75462040	-0.92366264	-0.79693849	-0.97184881	-0.96036670
Cyclin.D1	-0.07804894	-0.24756543	-0.11643094	-0.44323717	-0.18694840	-0.40714223	-0.31404592	-0.41573177	-0.46438693	-0.37891169	-0.61046115	-0.48261800	-0.69041661	-0.59429345
KI.67	-0.177380602	-0.379095843	-0.225837838	-0.473665062	-0.374699109	-0.510413545	-0.508780273	 0.060499229	-0.002490594	 0.129411757	-0.844785195	 0.099077321	-0.886181527	-0.816737814
EGFR	 0.2248085	-0.2103925	 0.5377690	-0.7244911	 1.0371145	-0.7421709	-0.6906442	-0.5144204	-0.6559749	-0.5787881	-0.7614040	-0.6711045	-0.7681975	-0.7657776
PCNA	-0.19802401	-0.32057226	-0.19304086	-0.49029351	-0.37387449	-0.53532786	-0.50780029	-0.07746817	-0.22493459	-0.11058910	-0.86314123	-0.44038957	-0.92728533	-0.84653598
MitoTrackerGreenReagent	-0.82124149	-0.70996923	-0.44127610	 0.59164428	 0.51889575	 0.36888883	 0.48235736	-0.65457266	-0.66225430	-0.33904395	 0.87206710	-0.44992599	 0.76174524	 0.09098118
