	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
CTCF_astrocyte of the cerebellum_hg19	0.0	0.0	0.0	0.0	3.12289752073	5.45777515216	-0.0	-0.0	-0.0	-0.800063547354	-0.0	-0.0
CTCF_medulloblastoma_hg19	0.0	0.0	0.0	0.0	4.78614653458	11.2776894923	-0.0	-0.869942828554	-0.0	-2.3507537098	-0.0	-0.0
CTCF_fibroblast of villous mesenchyme_hg19	0.0	0.0	0.0	0.0	4.63938068699	11.0893403417	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SETDB1_U2OS_hg19	0.0	0.0	0.0	0.0	2.51109434618	6.49904574554	-0.0	-0.0	-0.0	-22.5117846653	-0.0	-0.0
CTCF_fibroblast of pulmonary artery_hg19	0.0	0.0	1.1357843082	0.0	4.863180771	11.2727478871	-0.323102237609	-0.0	-0.0	-7.22511483372	-0.0	-0.0
CTCF_fibroblast of gingiva_hg19	0.0	0.0	2.14002143635	0.0	6.9862928892	12.8358529973	-0.0	-0.0	-0.0	-1.70670795662	-0.0	-0.0
RAD21_ECC-1_hg19	0.0	0.0	0.0	0.0	2.23814113289	3.36767633105	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
CTCF_GM12875_hg19	0.0	0.0	0.942096638313	0.0	3.99203512862	11.5068498918	-0.0	-0.0	-0.0	-0.0	-0.0	-4.65685036247
CTCF_fibroblast of skin of abdomen_hg19	0.0	0.0	0.0	0.0	10.2027922395	14.4814028846	-6.23981847846	-0.26369174596	-0.0	-7.55040728057	-0.0	-1.87826549441
CTCF_GM12866_hg19	0.0	0.0	0.0	0.0	2.75768933591	9.29556836069	-0.0	-0.194721527199	-0.0389950431364	-0.0	-0.0	-1.45783475909
CTCF_astrocyte_hg19	0.0	0.0	0.0	0.0	6.62200627162	8.93230400859	-0.0	-1.03234541145	-0.0	-2.58230405348	-0.0	-0.0
CTCF_osteoblast_hg19	0.0	0.0	0.0	0.0	7.06503116094	9.28077718707	-0.0	-9.39759695474	-0.0	-0.0	-0.0	-0.0
CTCF_GM12871_hg19	0.0	0.0	0.0	0.0	2.40660933346	8.81188972373	-4.37453214482	-0.904676606049	-0.0	-2.38538864149	-0.0	-0.0
CTCF_GM12873_hg19	0.0	0.0	0.0	0.0	9.41860981032	12.3482809483	-0.0	-0.0	-0.0	-0.0	-4.15235283385	-0.0
RAD21_K562_hg19	0.0	0.0	0.0	0.0	3.13712831401	4.06173598393	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
CTCF_fibroblast of the aortic adventitia_hg19	1.07620891107	0.0	2.10833954363	0.0	9.98242474019	14.1941587708	-0.0	-0.229302463289	-0.203653167879	-1.35429319968	-3.96579506034	-6.33489487521
SMC3_SK-N-SH_hg19	0.0	0.0	0.0	0.0	2.16273814	8.58293367766	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
CTCF_HL-60_hg19	0.0	0.0	0.0	0.0	8.16213186536	9.95987885065	-0.0	-0.0	-0.0	-5.77621705157	-0.0	-1.85067429564
CTCF_astrocyte of the spinal cord_hg19	0.0	0.0	1.0452122766	0.0	2.65002589823	10.2584117422	-0.0	-2.01436547481	-0.0	-0.0	-0.0	-0.0
CTCF_fibroblast of dermis_hg19	0.531275987334	0.0	3.00080771903	0.0	5.17924043583	13.0374653644	-1.73254857023	-8.49498386021	-0.0	-3.72034157908	-0.0	-0.0
CTCF_GM20000_hg19	0.0	0.0	1.93253992268	0.0	6.8675473909	8.88467557727	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SMC3_HeLa-S3_hg19	0.0	0.617366769143	0.0	4.24922681692	3.52705896712	7.34654567435	-1.76509391107	-0.000654310076045	-0.343482525065	-2.90093958222	-20.5594574727	-14.7562908854
CTCF_WI38_hg19	0.0	0.0	0.0	0.487519304986	10.1342732255	11.4637376756	-0.0	-0.0	-0.0	-0.0	-0.0	-5.78682875761
CTCF_GM12865_hg19	0.0	0.0	0.0	0.0	1.73867155967	8.48239496924	-0.0	-3.01938173777	-0.0	-10.1398491745	-0.0	-0.0
CTCF_MCF-7_hg19	0.0	0.0	0.268360044669	0.102242727149	12.6584001412	14.4504647624	-0.0	-7.08778788043	-0.240772653845	-18.1545710148	-2.90008937696	-4.57031254602
CTCF_retinal pigment epithelial cell_hg19	0.0	0.0	0.0	0.0	10.6559884694	12.0384797782	-0.0	-0.0	-0.0	-0.0	-0.0	-5.62994507749
CTCF_skeletal muscle myoblast_hg19	0.0	0.0	0.0	0.0	12.0522720102	13.5722491864	-0.0	-0.0	-0.0	-4.72328704778	-0.0	-0.0
CTCF_foreskin fibroblast_hg19	0.0	0.0	3.47012673566	0.0	3.99858489268	13.4678225401	-9.83796206654	-1.2279030981	-0.0	-11.4536453288	-3.30638183107	-5.31969222381
CTCF_heart_mm9	0.0	0.0	0.0	0.0	1.01750043664	7.31710072569	-0.0	-0.0	-1.02451046805	-0.0	-0.0	-0.0
CTCF_fibroblast of mammary gland_hg19	0.0	0.0	0.0	0.0	0.760819674101	6.04685576796	-0.0	-0.0	-0.0	-14.0067854374	-0.0	-0.679428166857
CTCF_fibroblast of pedal digit skin_hg19	0.0	0.0	1.29718526323	0.0	1.60439421417	9.56478079042	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
TBP_HeLa-S3_hg19	3.82411800483	0.975075013453	3.96354410192	0.0	10.6839632491	16.1017067645	-0.985090191666	-0.164475671918	-0.0	-8.59285627917	-9.05515036805	-15.0550002998
MAFK_HeLa-S3_hg19	0.228512868822	6.67998484064	0.0	2.79223101265	13.8448236845	17.9222944902	-0.0	-2.82281805571	-0.218801915312	-25.5489624724	-9.20143298013	-0.0
CTCF_fibroblast of upper leg skin_hg19	0.0	0.0	1.76735422159	0.554822592133	1.49933541249	11.1574726535	-0.0	-2.78334777645	-0.0	-0.65587401822	-10.8502271379	-0.0
ATF1_K562_hg19	0.600440089892	0.0	0.0	0.0	1.06518599662	2.14508758643	-0.0	-10.3572571511	-2.01012314226	-53.5958182686	-40.8316263595	-5.18771547543
RAD21_SK-N-SH_hg19	2.40028203416	0.0	3.07076291841	0.0	5.43103852131	10.64141403	-0.0	-0.441032170858	-0.503459198578	-0.0	-0.0	-0.0
CTCF_epithelial cell of proximal tubule_hg19	0.0	0.0	3.82403438059	0.0	3.309494945	11.1184666385	-0.0	-0.624976850209	-0.0	-0.0	-0.0	-0.0
RAD21_MEL cell line_mm9	0.0	1.5857012286	0.0	0.0	12.2005860218	11.9868512996	-0.899605001588	-0.0	-0.0	-0.0	-0.0	-17.4158358936
