agent	concentration	time	compartment	RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Dasatinib	0.1	72	cytosol	-0.0354728327681566	-0.224461867646784	-0.0298249107986521	0.0218750306623811	1.12229979597336	-0.041712012119156	2.34082080640374	0.143971252896496	-0.200591618472011	0.0197496434636527	0.119253792163681	-0.0878568701332896	-0.111205687877368	1.26305036996883	1.53307438249975	0.620010254179768	0.0928723858482095	-0.138130750119256	0.152848667866953	-0.170608836040255	0.255998220573139
Dasatinib	1	72	cytosol	-0.277162189655952	-0.39438506831077	-0.0459880140098311	-0.433139730815584	1.55501449607862	-0.084271468080121	4.93996755596668	0.829147955334714	-0.288813898625838	0.212426626211239	-0.282536462504824	-0.0964180388623049	-0.193347355397143	1.23411633789446	3.18808690639371	1.00902289031121	0.141390094082721	-0.305256425642704	-0.255633182710171	-0.212298698874732	1.12131031275318
Dasatinib	3.1623	72	cytosol	-0.258667459605068	-0.417635040580243	-0.005659504382531	-0.295895386087784	2.40510951246828	0.273786667041485	2.79462732418915	0.870331002554732	-0.22180856423772	0.500999794293065	-0.394241994639982	0.0902541610999469	0.0894471957263748	2.77094340077083	3.19223639745056	0.30606333005283	0.278767065785534	-0.426744095843551	-0.148489391637944	-0.354342048559555	3.79082424751655
Dasatinib	0.31623	72	cytosol	-0.0327870443631991	-0.396597923682292	-0.0472111039464593	-0.0345187660041741	-0.248552854595663	-0.153951104228648	1.63976894243746	0.38729450575039	-0.180980512408054	0.0948124807461596	-0.542764810432281	-0.104637741552086	-0.262445340567943	0.28513416594021	2.31498879814312	0.352485740822768	0.0400631349928854	-0.366661497175785	-0.598417720864878	-0.524383836511301	2.27333236783109
Dasatinib	0.01	72	cytosol	-0.527555080571824	-0.328420044106068	-0.073765174148479	-0.463303091080214	-0.204083895979652	-0.171502854213203	-0.372385021252595	-0.340367121602462	-0.297677143632228	-0.252342678628571	1.35747949622492	-0.14238004662394	-0.263877280134543	-0.349208414082632	-0.0937135360796868	-0.149713535570769	-0.38842823892662	-0.120369400403815	0.980944629211239	-0.261218007205027	0.0784830465559228
Dasatinib	10	72	cytosol	-0.036893217734715	-0.520525868242351	-0.0867949503554932	-0.0417087391974451	-0.869873988040641	-0.207879541118533	1.67149578632879	0.00568087117497585	-0.286257245015535	-0.0401336767680986	-0.702824598396243	-0.0240537613070875	-0.211181084329343	-0.368417156726676	1.58008748199578	-0.672730163940178	-0.390435358718019	-0.546036170252095	-0.776625539223408	-0.595692394982674	1.54469742229948
Dasatinib	0.031623	72	cytosol	-0.360929191757497	-0.369048680812004	-0.0584639653906691	-0.312103535287117	-0.396778533917656	-0.232193373781417	0.0116983753070696	-0.328706649729395	-0.296844806229452	-0.258266994155432	-0.609613480754655	-0.14843043726596	-0.327036196575616	-0.241907907792976	0.0727054307410984	-0.0183411594621225	-0.428560341339026	-0.465242911719753	-0.560264665172192	-0.508308017954044	0.665407659079138
Dasatinib	0.1	72	nucleus	1.14456836464033	0.723777742307929	0.11395129115278	1.05634134541044	3.0309268711229	1.32276975024921	2.05838707116551	0.550795451756303	0.131992230443316	1.74227421183515	0.182701511103706	0.956898705176049	0.700306152506144	2.86302626624122	1.483679093648	1.02798336555455	1.15645409160121	0.382195654046572	0.566108924965775	1.56190383954551	1.14773287626903
Dasatinib	1	72	nucleus	3.14452875659625	-0.0362008335167534	0.0415969539287331	2.40430475009721	0.521061283846233	0.0493719284228407	3.85640092322417	1.51955657624271	0.4234980538782	1.30585951443462	-0.449247983121562	0.100474310941262	-0.0879676302216431	2.63236107282913	4.58984470350388	2.18496247830602	1.64468832926761	-0.384951173543758	-0.295773117883079	-0.429293457561941	4.72784403500849
Dasatinib	3.1623	72	nucleus	0.562895234290603	-0.561445754878961	-0.0724027678260664	0.673267066977594	-1.16297320688231	-0.522400942057939	1.05693165613576	-0.191523813140883	-0.251336185453357	-0.175531968147217	-0.658612671305104	-0.0545645479760472	-0.325046682464815	-0.0632082317381179	1.04988460786656	0.0179289073544409	-0.125151868808379	-0.819284460701811	-0.670633139218188	-0.899827069306398	0.0275434432681587
