agent	concentration	time	compartment	RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Paclitaxel	1e-04	48	cytosol	2.40376369736608	2.74193824994852	0.436016390003038	2.00101186989673	2.2531030642145	0.711282262679691	0.938496699889252	0.664166583371823	0.630028634423376	0.979538209803309	-0.0766589060184423	1.23668669067844	0.885326872480285	0.963316524393492	0.192083441832185	0.418799749521465	1.48304053548869	2.20511822204546	0.281111414949515	2.34031306854905	-0.593765130268619
Paclitaxel	0.0031623	48	cytosol	1.65676311919793	0.975565736773739	0.573132908611188	1.14026657675799	0.716633075667096	0.399733014943005	0.361449596325007	3.98893252419247	2.29328548390589	0.489102623610052	-0.326874387659654	0.406445396554345	0.897500807521984	1.226462225517	0.362531689777028	0.339935861589647	1.27351250236977	1.02535704805065	-0.0958563565889242	1.20707145078204	0.562029826068268
Paclitaxel	0.01	48	cytosol	0.61233104726577	0.373684365044929	1.93534872698291	1.07934678644549	1.6878249003069	0.639048270813931	0.742669583708319	2.90959738903045	1.69443725363474	0.950285010033216	0.24213599173807	1.60541623178442	0.870102875119001	2.59646002004789	1.27146194411641	0.854118943950362	1.48636070006612	1.15846716663306	0.623259710716242	0.880979023276437	1.58131026304294
Paclitaxel	0.00032	48	cytosol	1.24123568442093	1.59677518458562	0.309508033857615	0.843531604480385	0.0219926790576885	0.460642310048307	-0.42052834504228	0.834524807100453	0.42606556668248	0.164287649441306	-0.332433404677906	0.0315203014249614	0.436281900396191	1.01526058288877	-0.0196254698275677	0.337865009448254	0.801164347325492	1.3334116305016	-0.228719621109582	0.760312550055478	0.33421929356857
Paclitaxel	0.1	48	cytosol	0.950700357465748	0.457140990305554	4.55989457335118	0.275442853641086	-0.15245500380682	0.0682579903223444	0.62747551553696	2.97666110652703	1.05948173007134	0.452848549621292	-0.400755285374189	0.31315371639842	-0.1255139300589	1.03847505079339	1.80004560915489	0.672444514073029	1.06600186440183	0.550043284279099	-0.464945252371615	-0.31027355990911	1.70518055388971
Paclitaxel	0.031623	48	cytosol	-0.437255194970118	-0.350628368855618	0.671202179440685	-0.418024455860892	-0.882616583310847	-0.157365875672244	-0.677694395190236	-0.0092814955396989	-0.0471517881774472	-0.174696857938279	-0.662302582932503	-0.0463744775365329	-0.31095263021582	-0.829287084757571	-0.444274354119046	-0.624922715876225	-0.236194249860193	-0.32748664303225	-0.742396815101695	-0.525248804468866	-1.01709222059225
Paclitaxel	0.001	48	cytosol	1.40672374323473	1.35709759418101	0.483302629889855	1.00503464639705	-0.0177869558005921	0.280627042823705	-0.405125355685154	1.47991543979739	0.673124203863602	0.217543745436962	-0.464276789449933	0.0528298314865245	0.248151061426566	0.752855054566768	0.0185256495195565	0.243901698053985	0.780495137577766	0.917840551081161	-0.41284283178351	0.516018044055995	0.44592127805793
Paclitaxel	1e-04	48	nucleus	-0.591730989981948	-0.461505384041958	-0.0648819497457874	-0.463432600580619	0.0655430989043526	-0.467347846801562	0.33336587680383	-0.426027894945671	-0.264311811208909	-0.317703705502995	0.841978521696621	-0.20990738269659	-0.266272299445937	-0.760724911342387	0.417099003067101	0.296315880625909	-0.346823722972329	-0.563087072037614	0.699563236603456	-0.615552013341962	0.0916840117427004
Paclitaxel	0.0031623	48	nucleus	0.350191572918738	-0.490023992786936	-0.0501784582203794	1.29331594962731	1.93530505498866	-0.185239655085831	4.27122338247671	0.536186075032434	0.780229216853687	0.509454851827573	0.0971470922028206	0.103049450915526	-0.173477575932888	1.11545113178125	2.49406959159053	2.21965631022383	0.822571181463762	-0.671700617970686	0.254588101541181	-0.658192468906256	0.776634590407413
Paclitaxel	0.01	48	nucleus	0.245903204822819	-0.612496798181964	-0.0764129413209385	0.366607717550108	-0.399633004994076	-0.495607886467672	0.897519358467657	0.453905287749682	0.105059348863451	-0.312135761559321	-0.607972467118696	-0.150206540254684	-0.310151767173843	0.355911857701052	0.963641864259622	0.942083804596558	-0.136779145395394	-0.828288518940792	-0.543834621169818	-0.881323599298793	1.42987286315715
