agent	concentration	time	compartment	RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Palbociclib	3.1623	24	cytosol	-0.351087741220594	-0.494528846640653	-0.0695206210066879	-0.0533563894196376	0.737811119286502	-0.0493058688982375	0.481459173558276	-0.394203323472156	-0.18139691343749	-0.172866792170791	0.245002053873324	-0.118654694358508	-0.0707545518560647	0.324099029865926	0.150043591141175	0.746229447041609	0.252608855738247	-0.481349612339395	0.653048023233672	-0.431294394130889	-0.206987523455892
Palbociclib	0.031623	24	cytosol	-0.30193179443089	-0.207870689898094	-0.051721050759771	-0.190323572476774	0.520561074010916	-0.0530586999600971	0.573449363802105	-0.356516566543035	-0.18441190598254	-0.185203576528564	0.121803711513943	-0.0951058868737458	-0.123745607478302	0.368973280641719	-0.117390426970666	0.151652714370248	-0.0996744940903361	-0.194057386985167	0.539531085712193	-0.223915130218908	-0.244702452554878
Palbociclib	10	24	cytosol	-0.407535851281321	-0.506561109937785	-0.0693357855762255	-0.183350321865004	0.245844132295528	-0.0845185604334031	0.141734705544679	-0.432878637223286	-0.243262206670627	-0.216348535798928	0.00668577533135551	-0.138843451174386	-0.105467148234963	0.569713137998582	0.156564935593882	0.718548734585633	0.0748241004338669	-0.498420224991302	0.444355760107817	-0.470727246258035	0.469621901819935
Palbociclib	0.1	24	cytosol	-0.419059828827213	-0.342776043663775	-0.0640031533090471	-0.190999116420444	0.273432645294838	-0.0456934094833874	0.211385926262245	-0.378372610592584	-0.158105308357844	-0.209974009847624	0.307148656585341	-0.117284526830643	-0.0251890550353803	0.307137162122425	-0.0249503376585322	0.613559888672035	0.131213875744138	-0.4277506294309	0.686711709238366	-0.383519542514307	0.525856960151682
Palbociclib	0.31623	24	cytosol	-0.345692320621141	-0.383614750816925	-0.0678708028044387	-0.137504741059553	-0.0137716866898197	-0.0648406907557608	-0.131627241217279	-0.376384281617462	-0.152071325121132	-0.217321149854601	0.137014091599913	-0.119163689588879	-0.0462000041373856	0.203461395318408	-0.101938905223306	0.578083307259589	0.0839928136431089	-0.453459633248993	0.308860726334813	-0.441458861291004	0.534809892038488
Palbociclib	0.01	24	cytosol	-0.291565558619332	-0.215301018610772	-0.0286323700317211	-0.168516005634279	-0.326638041599971	-0.0898237816170005	-0.126521000677407	-0.324352940075382	-0.164034087356726	-0.205570475304803	-0.42548202693306	-0.116232177977625	-0.221053858273798	0.344918987749357	-0.228833171397215	0.221698346908954	-0.129420713421166	-0.384314135189978	-0.124142273106179	-0.411060002848567	0.15043556608636
Palbociclib	1	24	cytosol	-0.392524403647814	-0.438583065806739	-0.075752677380166	-0.22864512247461	-0.276915068572341	-0.12022976365715	-0.314468769840014	-0.392961070547301	-0.178607787103777	-0.239341950105416	-0.341781246868409	-0.159838623873231	-0.221943806531223	0.206860870379851	-0.12475764932957	0.516756723502009	-0.0738188118646144	-0.506836772627035	-0.15569105729095	-0.517626961139795	0.243774573074894
Palbociclib	3.1623	24	nucleus	0.527150974376273	-0.190121476303684	-0.107835789523115	0.419909361240216	-0.300022417929657	-0.442384246654618	-0.464990409671426	0.114660433699947	0.191412575377352	-0.266085053216953	-0.102011611317243	-0.352712487598284	0.071495093815689	1.13513098930003	-0.649299831566173	0.0519735616254521	0.796229725552001	-0.237238756830296	-0.476865509348345	-0.415806120939248	0.0757549764810702
Palbociclib	0.031623	24	nucleus	0.323111304403741	0.327059187870852	-0.0227012323133816	0.00438114993403873	-0.715841861395396	-0.543622058803262	-0.63604940279964	-0.0196472434370513	-0.0982149997034658	-0.344161811928928	-0.545429020951202	-0.33209095373751	-0.385174565514245	0.539826214012001	-0.900817077023648	-0.784231415096666	-0.408718580200889	0.0661356407811684	-0.61572683371582	-0.182386258582265	-0.366147032478242
Palbociclib	10	24	nucleus	0.39561148650755	-0.366635158940902	-0.139867267146537	0.447834716110416	-0.374167715252148	-0.460464447238921	-0.574774121528174	0.00664001274020443	0.106428297333094	-0.271661754606247	-0.104321789104271	-0.332239992018902	0.132725799735045	1.23534079457945	-0.611421959523679	0.0178729674401832	0.802685753912318	-0.337889868304392	-0.455734806811351	-0.521416017771738	0.39775063141536
Palbociclib	0.1	24	nucleus	0.463788501586715	0.205237417367058	-0.0557477507036663	0.0788519245939714	-0.804005776941275	-0.606702041443216	-0.801943859485998	0.0669350708076703	-0.0531858182087414	-0.375702173385444	-0.453587748907458	-0.350508485266264	-0.38548723326696	0.286297420157769	-0.900146329446757	-0.653244951816621	-0.21999898593221	0.248010105290142	-0.638613197971535	-0.354297500753082	-0.209085792597981
Palbociclib	0.31623	24	nucleus	0.271611085881713	0.0372834816679274	-0.0946762998341297	-0.183925332837599	-0.896860609456406	-0.621810206150761	-0.875839193582445	0.0259382456723455	-0.114248772396817	-0.40511720112047	-0.494417065595961	-0.396801174942053	-0.450409330437644	-0.092205162651123	-0.921960929264001	-0.615526060002674	-0.246255079983955	0.000947542894773247	-0.684217115344942	-0.480368125624283	-0.328975060785381
Palbociclib	0.01	24	nucleus	0.277882657401001	0.0690257478253874	-0.0263394130403009	-0.123793419332653	-0.956615312744175	-0.71377835017869	-0.861595454986473	-0.0763260060057432	-0.165260856560254	-0.411334463712784	-0.6221104985164	-0.394325323051269	-0.501589187895122	0.418827304339473	-0.961374810091913	-0.799647661553788	-0.524813272544847	-0.151990412004917	-0.680592782509899	-0.50848090504919	-0.489899620105122
Palbociclib	1	24	nucleus	0.820865760334446	-0.0816853976166562	0.00933090934698017	0.232984241376541	-0.882417813260766	-0.76400681203214	-0.79684506887483	-0.0293010589708376	-7.29409493951366e-05	-0.383473035413788	-0.637346045704511	-0.404119982987147	-0.466820202714895	0.624348897773912	-0.841528335891111	-0.407572166835889	-0.145781261853562	-0.474667663268844	-0.695593916680651	-0.746981541832267	-0.0118091115632262
