agent	concentration	time	compartment	RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Palbociclib	3.1623	48	cytosol	4223.64737272727	328.248707954545	156.414327272727	912.585376136364	1541.93941704545	200.319731818182	1065.51680113636	943.468515909091	654.449127272727	327.345379545455	411.749801136364	194.220917045455	273.955856818182	5351.97395568182	422.490319318182	437.810177272727	763.050222727273	622.190305681818	641.5759625	1411.32977045455	5896.03605454545
Palbociclib	0.031623	48	cytosol	4253.20334352256	1725.30841193595	297.109386462882	703.350517467249	1438.45414628821	204.508557496361	1138.15440247453	1097.5490713246	518.166794032023	288.127988355167	385.950409024745	247.668122998544	200.447212518195	5567.73318122271	359.617961426492	357.062128820961	483.993516739447	2903.97447088792	615.785309315866	2606.81316885007	5833.77592576419
Palbociclib	10	48	cytosol	3723.10602509653	245.625052123552	155.28786969112	811.878988416988	1199.46877316602	205.889742277992	817.651562741313	855.963662162162	446.11744980695	266.86272007722	341.992261583012	164.92347007722	267.834305019305	5997.63216891892	410.111295366795	429.564124517375	590.465115830116	564.346521235521	565.870621621622	1166.57430212355	8316.7432992278
Palbociclib	0.1	48	cytosol	3208.85231663327	1109.74322845691	200.803154308617	720.908749498998	1177.68207915832	207.629018036072	865.740165330661	1036.60551102204	639.557314629258	271.920603206413	409.704221442886	197.74921743487	257.837933867735	5363.71101803607	374.311503006012	410.230057114228	655.742310621242	1047.74375951904	619.714008016032	1851.12792284569	8362.15555310621
Palbociclib	0.31623	48	cytosol	4047.21054537037	873.719175	198.081976851852	723.663942592593	953.280134259259	195.032151851852	594.524543518518	1093.05300277778	631.570727777778	250.269905555556	348.110189814815	176.631919444444	254.349844444444	4985.63210185185	357.701386111111	398.234076851852	614.658586111111	964.9339	497.913888888889	1385.34773333333	7915.95207592593
Palbociclib	0.01	48	cytosol	4082.38689576271	1447.46887033898	323.767054237288	663.045340677966	753.087931355932	172.07913559322	664.486377118644	1171.65323050847	461.707663559322	243.687247457627	232.391616949153	190.593292372881	176.375622033898	5113.47402627119	339.081427966102	369.905666949153	388.537344915254	1218.67532711864	401.483777118644	1250.66175677966	6858.49469067797
Palbociclib	1	48	cytosol	3687.40835654596	518.454814763231	157.581862116992	685.378147632312	748.634428969359	166.443366295265	529.651811977716	969.2661545961	602.164066852368	238.585097493036	242.422961002786	155.335798050139	203.254231197772	4808.94434261838	366.515586350975	398.75545821727	546.546930362117	442.857600278552	364.654247910863	701.489562674095	6677.28273119777
Palbociclib	3.1623	48	nucleus	948.883337431008	327.469271199197	316.598063723031	379.96382162569	2604.80338384345	232.523169091821	1778.74720195685	611.28849473156	250.993081535374	216.060821876568	1782.20008855996	203.836354741596	215.670686402408	3543.46970346212	926.766368038133	838.717631961867	557.77343878575	881.636393878575	3970.24765855494	861.012236578023	9093.23081159057
Palbociclib	0.031623	48	nucleus	677.25504036094	392.274357232792	259.158262730834	254.428641787913	2102.66822887521	217.139478105764	1370.58718942361	656.66975965305	244.041996922216	225.662120872971	1535.32333310017	201.181380875769	204.074007904309	2244.72820026581	887.082439003917	591.629503707331	334.556333379966	985.880852686066	2897.31765151091	1313.23824734191	8180.4344705512
Palbociclib	10	48	nucleus	1794.47926858108	356.248821790541	232.673176097973	469.945608952703	1812.25753420608	215.270441300676	1633.14357390203	743.305673564189	304.552899070946	215.016739442568	677.61525464527	197.199360641892	206.151510557432	3098.60110853041	934.859712837838	990.105882601351	639.659096283784	791.561133023649	1414.97708023649	568.714486908784	10890.2265080236
Palbociclib	0.1	48	nucleus	818.20160868635	431.754526743688	254.606897411211	309.143893667095	2281.62405231065	205.958083654258	1976.13787708601	614.56178893881	253.241904471545	234.221353123663	2059.96493314078	205.076897411211	204.865224540009	1945.44814634146	841.482831728712	621.311958172871	377.104219940094	1056.3757728926	3547.77452685066	1192.04270154044	6515.95687847668
Palbociclib	0.31623	48	nucleus	838.748956548728	395.190747113594	277.17854512725	286.450991682185	1850.48964394786	212.92901204221	1330.04032116698	627.783382122905	253.745908752328	202.520920918684	1564.05777852266	195.332564742396	204.241328243327	2414.19894450652	793.432676846679	663.320478088144	392.462175543141	854.894175418994	2420.92492476723	835.65920248293	7434.56296362508
Palbociclib	0.01	48	nucleus	921.203311113209	403.200035690681	244.054659616656	251.256005287508	1337.56354886224	200.121275705788	1129.68839986781	723.440550184119	275.159651024455	224.152976395052	920.17695024077	191.915169200264	192.051508261732	1839.00890595789	731.674123784345	531.070008781041	329.696237182513	932.442237182514	1176.17353630441	839.826448871684	7532.42684534038
Palbociclib	1	48	nucleus	916.478273031531	368.184679055839	243.093384886384	398.590424167694	2556.50866091245	215.696003170689	2189.50706605602	622.609717104104	252.923787563854	244.614509600141	1689.62557583231	206.415659855558	211.960682050379	2252.05182860666	843.249183899947	719.085456050731	466.867511185485	885.488167341906	3600.21915959133	1171.66867870354	6145.803691034
