agent	concentration	time	compartment	RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Trametinib	0.01	24	cytosol	1003.25271751969	168.491600393701	150.49543503937	394.751984251969	900.761726377953	135.21236023622	1406.30557677165	426.648124015748	234.927248031496	242.645378937008	221.233539370079	155.229580708661	144.217970472441	3603.86486220472	416.848821850394	199.75363484252	205.380237204724	238.180861220472	319.407302165354	367.566633858268	6382.85098228346
Trametinib	3e-04	24	cytosol	930.500463434675	304.085840591619	155.475642563681	258.043062448644	748.434635168447	134.146128184059	1111.83914872638	484.814145439606	226.093445357436	162.880686113394	412.729510271159	148.91382580115	145.578156943303	3034.23667625308	338.944505341002	272.08741906327	221.938905505341	398.26485620378	598.947123253903	388.744814297453	5761.44048890715
Trametinib	0.001	24	cytosol	792.741913043478	285.462743232157	162.248233798195	262.272321575062	895.422899097621	141.945802296965	1034.37027235439	514.302321575062	210.157863002461	174.163260869565	424.641134536505	152.015527481542	150.777884331419	3328.82695734208	389.206998359311	219.806236259229	219.745895816243	397.95048564397	653.130120590648	481.90026168991	5994.93253732568
Trametinib	0.0031623	24	cytosol	1036.76708375635	225.664020304569	152.487452622673	330.419523688663	895.428307952623	138.271949238579	1176.17467597293	503.038712351946	224.481370558376	191.907057529611	270.415017766497	151.859614213198	148.411186125212	4120.0812927242	432.434662436548	203.308027918782	218.413660744501	293.413771573604	431.167104060914	445.809818950931	5871.12787563452
Trametinib	0.31623	24	cytosol	846.373902461258	143.415876937101	143.152934366454	275.233014585232	693.037988149499	133.114666362808	902.803191431176	408.097271649954	205.247999088423	191.667916134913	181.618465815861	146.977207839562	144.412336371923	3302.02846672744	453.369059252507	175.115201458523	177.094531449407	210.29215952598	258.2922698268	273.623262534184	6895.36482041933
Trametinib	0.1	24	cytosol	865.986205784205	153.523464961068	146.701486095662	289.451361512792	502.082427141268	132.597493882091	735.235928809789	380.266218020022	207.02173971079	172.982142380423	165.587641824249	146.383707452725	142.11047942158	3330.97322914349	417.749956618465	198.771430478309	188.402427141268	202.879855394883	235.382766407119	226.905546162403	8223.89971746385
Trametinib	0.031623	24	cytosol	741.346601139601	152.218972459639	144.436744539411	268.395890788224	446.703715099715	130.380835707502	695.946817663818	368.170895536562	206.323937321937	170.485941120608	168.338372269706	144.629461538462	140.894012345679	2542.70946153846	391.901475783476	196.427659069326	179.321177587844	192.426552706553	216.74345014245	197.569419753086	7165.42443019943
Trametinib	0.01	24	nucleus	3249.75395559503	359.475361456483	195.554344582593	727.680487566607	586.310591474245	141.062203374778	1129.10595737123	1220.7961651865	359.432894316163	315.796613676732	151.383909413854	171.982017761989	163.52211634103	4683.65248667851	555.823121669627	197.399537300178	251.524705150977	308.614308170515	193.776910301954	663.475857904085	6451.92974422735
Trametinib	3e-04	24	nucleus	2638.61064631685	960.311910191725	245.997724772957	341.819903884965	625.175839808274	158.058468466196	535.785897073663	1214.02682441978	254.17198234107	181.309170282543	206.887743440969	157.535921543895	155.911583249243	2181.46359485368	250.482962411705	245.346881180626	274.484719979818	2641.43797149344	247.148571644803	1671.31569248234	3314.20484031282
Trametinib	0.001	24	nucleus	2543.53540454246	862.018329493088	257.105583936801	315.479323238973	632.600712310731	161.232394338381	575.677178406847	1285.32223304806	257.533256089533	194.745186965109	307.572651744569	159.05946477946	156.699789335089	2322.08332422646	309.642968729427	215.690691902567	278.413788676761	2365.53300263331	307.539790980908	1919.19196247531	3973.43768202765
Trametinib	0.0031623	24	nucleus	2683.62780661075	714.878288603848	226.322693142575	452.288060187469	644.842898371978	159.107083867785	728.464746916626	1443.22271386285	333.453641835224	272.483659595461	265.396742969906	168.488573754317	167.096761223483	2945.69472668969	451.474006906759	198.191939812531	300.521491366552	2051.26226739023	263.719146521954	1713.06819733596	5253.48507844105
Trametinib	0.31623	24	nucleus	2380.50675565124	144.261108719053	136.999168998924	459.978462863294	449.019679224973	131.724108719053	870.83496555436	1293.008532831	317.983896663079	441.394975242196	155.655029063509	155.066700753498	152.269049515608	3077.602532831	682.724041980624	210.060045209903	216.911554359526	210.587778256189	186.681147470398	323.133398277718	7969.61662648009
Trametinib	0.1	24	nucleus	2412.18077085162	143.372372256365	136.664124670764	443.410113257243	440.097389815628	130.173086040386	549.160259877085	1127.82575680421	302.377964881475	365.752441615452	149.530394205443	153.687990342406	149.880105355575	3333.07135733099	637.623178226514	193.655985074627	202.410755926251	188.953327480246	178.062434591747	282.175371378402	7487.01853731343
Trametinib	0.031623	24	nucleus	2839.21765797706	159.882352450469	132.376621480709	550.300430656934	418.360423357664	127.829293013556	573.617419186653	1173.35934202294	295.08738164755	274.207623566215	148.311789363921	150.521779979145	147.448187695516	3131.16908446298	581.081032325339	187.607739311783	195.371831074035	194.147607924922	170.095046923879	237.874089676747	7049.17962460897
