concentration,MCF10A-GM_(Broad)_72_R1,MCF10A-GM_(HMS)_72_R1,MCF10A-H2B_(HMS)_72_R1,MCF10A-HMS_(HMS)_72_R1,MCF10A-OHSU_(HMS)_72_R1,MCF10A-GM_(HMS)_72_R2,MCF10A-H2B_(HMS)_72_R2,MCF10A-HMS_(HMS)_72_R2,MCF10A-OHSU_(HMS)_72_R2,MCF10A-GM_(HMS)_72_R3,MCF10A-H2B_(HMS)_72_R3,MCF10A-HMS_(HMS)_72_R3,MCF10A-OHSU_(HMS)_72_R3,MCF10A-GM_(DToxS)_72_R1,MCF10A-GM_(DToxS)_72_R2,MCF10A-GM_(Neuro)_72_R1,MCF10A-GM_(Neuro)_72_R2,MCF10A-GM_(Neuro)_72_R3,MCF10A-GM_(MEP)_72_R1,MCF10A-GM_(MEP)_72_R2,Median
1e-05,0.999893839357,0.999993580307,0.999974861424,0.999752502812,0.999978533616,0.999999939652,0.999999991831,0.999999469202,0.999998762813,0.999999245343,0.999999991547,0.997963351667,0.999999714475,0.999996056824,0.992797654767,1.0,1.0,1.0,1.0,0.999997703456,0.999997703456
1.1220184543e-05,0.999884632573,0.999992802855,0.999971843111,0.999726735456,0.999976097733,0.999999927954,0.999999989957,0.99999937056,0.999998578161,0.999999130771,0.999999989704,0.997806705188,0.999999666555,0.999995426215,0.992358387172,1.0,1.0,1.0,1.0,0.999997375243,0.999997375243
1.25892541179e-05,0.999874627465,0.999991931252,0.999968462411,0.99969828632,0.999973385449,0.999999913987,0.999999987653,0.999999253587,0.99999836595,0.999998998804,0.999999987459,0.997638041182,0.999999610592,0.999994694757,0.991892592822,1.0,1.0,1.0,1.0,0.999997000124,0.999997000124
1.41253754462e-05,0.999863754834,0.999990954096,0.999964675819,0.99966687649,0.999970365403,0.999999897314,0.999999984819,0.999999114876,0.999998122067,0.999998846801,0.999999984724,0.997456442603,0.999999545238,0.999993846323,0.991398702934,1.0,1.0,1.0,1.0,0.999996571396,0.999996571396
1.58489319246e-05,0.999851939485,0.999989858604,0.999960434606,0.999632198089,0.999967002675,0.999999877408,0.999999981336,0.999998950387,0.999997841784,0.999998671722,0.999999981393,0.997260923215,0.999999468915,0.999992862206,0.990875060104,1.0,1.0,1.0,1.0,0.999996081397,0.999996081397
1.77827941004e-05,0.999839099715,0.999988630446,0.999955684197,0.999593911276,0.999963258386,0.999999853643,0.999999977053,0.999998755331,0.999997519669,0.999998470062,0.999999977336,0.997050422488,0.999999379782,0.999991720707,0.990319913819,1.0,1.0,1.0,1.0,0.99999552137,0.99999552137
1.99526231497e-05,0.999825146744,0.999987253557,0.999950363463,0.999551640942,0.999959089245,0.999999825272,0.999999971788,0.999998524026,0.999997149477,0.999998237786,0.999999972393,0.99682380015,0.99999927569,0.999990396659,0.989731415816,1.0,1.0,1.0,1.0,0.99999488131,0.99999488131
2.23872113857e-05,0.999809984104,0.999985709926,0.999944403941,0.999504973061,0.999954447049,0.999999791401,0.999999965314,0.999998249736,0.999996724035,0.999997970245,0.999999966373,0.996579830362,0.999999154129,0.999988860869,0.989107615283,1.0,1.0,1.0,1.0,0.999994149779,0.999994149779
2.51188643151e-05,0.999793506977,0.999983979361,0.99993772895,0.999453450672,0.999949278131,0.999999750964,0.999999957355,0.999997924473,0.999996235096,0.999997662087,0.999999959041,0.996317195487,0.999999012166,0.999987079477,0.988446453907,1.0,1.0,1.0,1.0,0.999993313706,0.999993313706
2.81838293126e-05,0.999775601472,0.999982039227,0.99993025261,0.999396569444,0.999943522734,0.999999702688,0.99999994757,0.999997538764,0.999995673183,0.999997307144,0.999999950109,0.996034479445,0.999998846377,0.999985013208,0.987745760781,1.0,1.0,1.0,1.0,0.999992358151,0.999992358151
