cell_line	agent	time	GR50	GRmax	GR_AOC	GEC50	GRinf	Hill	Replicate
MCF10A-GM (Broad)	Dasatinib	72	0.19595	-0.087954	0.45427	0.31577	-0.18046	0.64583	MCF10A-GM (Broad) R1
MCF10A-GM (HMS)	Dasatinib	72	0.23515	-0.14837	0.4459	0.37039	-0.20389	0.75277	MCF10A-GM (HMS) R1
MCF10A-H2B (HMS)	Dasatinib	72	0.58836	-0.018271	0.31787	0.78931	-0.12495	0.75921	MCF10A-H2B (HMS) R1
MCF10A-HMS (HMS)	Dasatinib	72	0.04647	0.0026983	0.57927	0.044821	0.013253	0.74327	MCF10A-HMS (HMS) R1
MCF10A-OHSU (HMS)	Dasatinib	72	0.7297	0.065687	0.30983	1.0369	-0.1269	0.64374	MCF10A-OHSU (HMS) R1
MCF10A-GM (HMS)	Dasatinib	72	0.090861	-0.1824	0.58412	0.10739	-0.14221	1.4974	MCF10A-GM (HMS) R2
MCF10A-H2B (HMS)	Dasatinib	72	0.98408	0.063543	0.26751	1.2778	-0.1135	0.78316	MCF10A-H2B (HMS) R2
MCF10A-HMS (HMS)	Dasatinib	72	0.080975	-0.004668	0.53202	0.082651	-0.0079775	0.77279	MCF10A-HMS (HMS) R2
MCF10A-OHSU (HMS)	Dasatinib	72	0.83527	0.074811	0.28068	0.93008	-0.042404	0.75713	MCF10A-OHSU (HMS) R2
MCF10A-GM (HMS)	Dasatinib	72	0.15507	-0.18516	0.48869	0.18922	-0.11851	1.0689	MCF10A-GM (HMS) R3
MCF10A-H2B (HMS)	Dasatinib	72	0.57183	0.038436	0.32468	0.69478	-0.075355	0.72081	MCF10A-H2B (HMS) R3
MCF10A-HMS (HMS)	Dasatinib	72	0.30353	-0.044095	0.40886	0.4514	-0.15241	0.67041	MCF10A-HMS (HMS) R3
MCF10A-OHSU (HMS)	Dasatinib	72	0.17007	-0.13472	0.46917	0.23043	-0.13136	0.76792	MCF10A-OHSU (HMS) R3
MCF10A-GM (DToxS)	Dasatinib	72	0.0096698	-0.13316	0.81534	0.010846	-0.10367	1.6409	MCF10A-GM (DToxS) R1
MCF10A-GM (DToxS)	Dasatinib	72	0.0071655	-0.34581	0.90161	0.01451	-0.31689	0.69574	MCF10A-GM (DToxS) R2
MCF10A-GM (MEP)	Dasatinib	72	0.10968	-0.034665	0.52683	1.6321	-0.62298	0.29967	MCF10A-GM (MEP) R1
MCF10A-GM (MEP)	Dasatinib	72	0.129	-0.028711	0.51681	0.84724	-0.48013	0.35761	MCF10A-GM (MEP) R2
