cell_line	agent	time	GR50	GRmax	GR_AOC	GEC50	GRinf	Hill	Replicate
MCF10A-GM (Broad)	Trametinib	72	0.001078	0.20715	0.61872	0.00059905	0.21324	0.94637	MCF10A-GM (Broad) R1
MCF10A-GM (HMS)	Trametinib	72	0.0048229	0.1623	0.5592	0.0036353	0.15787	1.3421	MCF10A-GM (HMS) R1
MCF10A-H2B (HMS)	Trametinib	72	0.0077021	0.18705	0.48355	0.0058223	0.19737	1.7945	MCF10A-H2B (HMS) R1
MCF10A-HMS (HMS)	Trametinib	72	0.0024097	0.055643	0.66514	0.0021212	0.085062	1.4625	MCF10A-HMS (HMS) R1
MCF10A-OHSU (HMS)	Trametinib	72	0.0091468	0.24402	0.44899	0.0063516	0.24388	1.8343	MCF10A-OHSU (HMS) R1
MCF10A-GM (HMS)	Trametinib	72	0.0035584	0.015542	0.66096	0.003506	0.0092486	1.2589	MCF10A-GM (HMS) R2
MCF10A-H2B (HMS)	Trametinib	72	0.0089082	0.19904	0.45867	0.0065309	0.21862	1.8519	MCF10A-H2B (HMS) R2
MCF10A-HMS (HMS)	Trametinib	72	0.0028193	0.1077	0.6281	0.0022736	0.12439	1.3298	MCF10A-HMS (HMS) R2
MCF10A-OHSU (HMS)	Trametinib	72	0.0091664	0.21617	0.45816	0.0067089	0.22008	1.8586	MCF10A-OHSU (HMS) R2
MCF10A-GM (HMS)	Trametinib	72	0.0047294	0.090278	0.59485	0.0041228	0.08582	1.3718	MCF10A-GM (HMS) R3
MCF10A-H2B (HMS)	Trametinib	72	0.0049941	0.18249	0.54403	0.0037334	0.1771	1.503	MCF10A-H2B (HMS) R3
MCF10A-HMS (HMS)	Trametinib	72	0.0025603	0.11703	0.64607	0.0021241	0.10772	1.2989	MCF10A-HMS (HMS) R3
MCF10A-OHSU (HMS)	Trametinib	72	0.0030871	0.079437	0.65195	0.0027885	0.063336	1.3314	MCF10A-OHSU (HMS) R3
MCF10A-GM (DToxS)	Trametinib	72	0.00019581	0.16194	0.76211	0.00013907	0.16594	1.1786	MCF10A-GM (DToxS) R1
MCF10A-GM (DToxS)	Trametinib	72	0.00014091	0.25923	0.68576	5.5827e-05	0.26457	0.81351	MCF10A-GM (DToxS) R2
MCF10A-GM (Neuro)	Trametinib	72	0.013396	0.19599	0.49525	10.8232	-1.0	0.16411	MCF10A-GM (Neuro) R2
MCF10A-GM (Neuro)	Trametinib	72	0.00036423	0.22821	0.61786	0.00021721	0.30821	1.8536	MCF10A-GM (Neuro) R3
MCF10A-GM (MEP)	Trametinib	72	0.010134	0.23388	0.44274	0.0044581	0.2347	0.77181	MCF10A-GM (MEP) R1
MCF10A-GM (MEP)	Trametinib	72	0.013872	0.27109	0.4222	0.0046466	0.26226	0.6797	MCF10A-GM (MEP) R2
