	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
PPARG_20887899_ChIP-Seq_3T3-L1 PREADIPOCYTE _Mouse	0.0	18.0190894759	10.1923466502	21.6319705811	25.2047365923	40.1025775725	-0.0	-9.81579672871	-1.87220358515	-0.0	-0.0	-0.0
TP53_16413492_ChIP-PET_HCT116_Human	0.0	0.0	1.84955817699	9.00612057	9.42633582176	5.92473309624	-0.0	-0.0	-0.0	-0.0	-1.41727489484	-0.0
MNX1_26342078_ChIP-Seq_MIN6-4N_Mouse	0.372831412018	0.0	0.0	3.299863475	3.90551405132	10.7553824424	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GATA1_19941826_ChIP-Seq_K562_Human	0.0	0.0	0.0	0.0	4.34838386601	4.2868837279	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
OLIG2_26023283_ChIP-Seq_AINV15_Mouse	0.0	20.1099246455	18.7286389196	18.2346371839	18.2707189228	29.1539303609	-2.05136430952	-9.44823040302	-9.24834213549	-17.2700145752	-4.99490048631	-11.5384808929
GABP_17652178_ChIP-ChIP_JURKAT_Human	2.37432879129	2.99299121579	3.89041619487	7.32181534864	11.3132908786	5.22726562341	-0.822741116824	-0.0	-18.8356713268	-1.44661394691	-0.453195474307	-3.82571315158
HIF1A_21447827_ChIP-Seq_MCF7_Human	0.0	3.93016068474	0.306443039986	6.89630561723	3.84472665286	18.0667262961	0.0	0.0	0.0	0.0	0.0	0.0
SPI1_23547873_ChIP-Seq_NB4_Human	2.54020682681	31.3843681842	23.2085323273	31.3795019197	44.614665114	25.0119375636	-0.0	-20.9309842242	-7.9776062521	-13.0185998788	-27.2553939299	-41.942404607
TAL1_20566737_ChIP-Seq_PRIMARY FETAL LIVER ERYTHROID _Mouse	14.7852994893	20.1251247435	30.8392876408	17.9206793392	29.5002723903	28.7952661957	-29.1466618548	-21.5440488512	-3.51558958097	-15.3437863642	-18.8328842454	-13.8046536044
POU3F2_20337985_ChIP-ChIP_501MEL_Human	0.0	0.553826123243	3.31168505114	9.82359402606	0.0	26.1275806808	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
JUN_26020271_ChIP-Seq_SMOOTH MUSCLE_Human	3.18372440208	0.0	3.49800632755	17.074443768	4.83395447827	12.6438273741	-10.2377214579	-25.8342877487	-7.02369592971	-1.16858981428	-1.86386678398	-10.7272016054
EP300_21415370_ChIP-Seq_HL-1_Mouse	0.0	0.0	0.331462085792	0.0	0.775891005177	7.8139623877	-0.0	-4.9956796758	-3.25469197252	-1.43072890028	-2.28328435231	-0.0
E2F4_17652178_ChIP-ChIP_JURKAT_Human	0.0	0.0	0.0	2.68925816425	0.0	14.5995187019	-86.6750089932	-108.8920438	-289.421323006	-219.529420002	-265.469134206	-285.82585957
POU5F1_18700969_ChIP-ChIP_MESC_Mouse	0.0	0.0	0.0	4.38412907032	0.0	4.40998968059	-0.0	-1.02404214603	-0.0	-4.07277043596	-0.923506691262	-5.40668079948
CEBPA_26348894_ChIP-Seq_LIVER_Mouse	0.0	0.0	0.0	1.49709674163	0.0	11.848340907	-0.0	-0.0	-0.269659099347	-0.0	-0.0	-0.0
ELF1_17652178_ChIP-ChIP_JURKAT_Human	0.0	0.0	0.0	3.06413026742	0.0	2.68234301719	0.0	0.0	0.0	0.0	0.0	0.0
