	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
single organismal cell-cell adhesion (GO:0016337)	7.13841172827	3.29878086876	4.81867149887	20.3805954879	13.570284912	3.20327272591	0.0	0.0	0.0	0.0	0.0	0.0
single organism cell adhesion (GO:0098602)	7.08659584692	3.56813980177	5.0439651199	20.5090171515	12.8865424263	2.78044678422	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
mitotic nuclear division (GO:0007067)	0.0	1.06496969677	0.0	0.0	0.0	0.0	-2.00554436159	-21.9393714915	-65.8280913315	-116.275882466	-133.551395439	-135.54851386
negative regulation of cell division (GO:0051782)	0.0	0.0	0.0	0.0	0.0	0.0	-2.13165344169	-8.5794638473	-16.4378079742	-28.2707992385	-33.4498326653	-32.5130922666
nuclear division (GO:0000280)	0.0	0.39461049313	0.0	0.0	0.0	0.0	-4.17743146648	-19.6938413742	-68.5184171436	-121.873671544	-135.209047399	-136.064662364
anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031145)	0.0	0.0	0.0	0.0	0.0	0.0	-0.585320066776	-10.0414208386	-22.0997346308	-29.1715260805	-34.2338890924	-38.0065380751
regulation of mitotic cell cycle (GO:0007346)	0.0	1.18614197568	0.0	0.766393682142	0.0	0.0	-8.04054663371	-28.194407723	-54.4675615053	-74.9562293946	-99.9832726307	-91.3513618081
organelle fission (GO:0048285)	0.0	0.0	0.0	0.0	0.0	0.0	-6.87945711756	-18.0774766545	-69.4150909508	-122.154400234	-129.761729548	-130.47663367
regulation of nuclear division (GO:0051783)	0.0	0.0	0.0	0.0	0.0	0.0	-2.42933225965	-8.01296931423	-25.4978719644	-49.5019739809	-55.2265212551	-53.4313948958
negative regulation of organelle organization (GO:0010639)	0.0	0.0	0.0	0.0	0.0	0.624720967374	-0.0743894273201	-4.8581719547	-12.2302565498	-26.0751654651	-30.2975704934	-28.8302924587
cytokinesis (GO:0000910)	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-2.08443670815	-13.9253199282	-28.978406899	-29.3041230311	-32.8977682438
negative regulation of mitotic cell cycle phase transition (GO:1901991)	0.0	0.0	0.0	0.0	0.0	0.0	-5.35082164602	-9.30216737389	-29.2353399316	-34.9764176432	-48.3566317451	-46.5252612101
regulation of mitosis (GO:0007088)	0.0	0.0	0.0	0.0	0.0	0.0	-3.38760518337	-10.1742255244	-25.4770820649	-55.7820022109	-62.0409789177	-60.2392406118
regulation of chromosome segregation (GO:0051983)	0.0	0.0	0.0	0.0	0.0	0.0	-4.85712671128	-17.379137447	-37.6606624888	-70.0324543789	-71.3340810881	-69.5957996543
regulation of mitotic cell cycle phase transition (GO:1901990)	0.0	0.0	0.0	0.0	0.0	0.0	-6.61273923672	-10.5962622835	-33.5107919216	-46.6180365142	-65.2780671384	-58.2670557941
positive regulation of cell division (GO:0051781)	0.0	0.718445206401	0.0	0.651494000647	0.0	0.0	-0.0	-6.62616740984	-9.67028346767	-18.2744201283	-18.4742640206	-21.5485206947
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	0.0	0.0	0.0	0.0	0.0	0.0	-0.41546627914	-6.05806590688	-8.62379441457	-18.2867765142	-18.5876003998	-20.8469680478
proteasomal protein catabolic process (GO:0010498)	0.0	0.0	0.0	0.0	0.0	0.0	-0.327560502335	-5.7012714264	-8.16428578411	-17.5208632167	-17.7790490803	-19.9720678022
regulation of cell division (GO:0051302)	0.0	0.0	0.0	0.563615233362	0.0	0.0	-2.25222754347	-11.7371763938	-24.9549660327	-62.5317301256	-78.5042926258	-80.4985584288
negative regulation of nuclear division (GO:0051784)	0.0	0.0	0.0	0.0	0.0	0.0	-1.18687360527	-3.73133606436	-10.5948309036	-17.5437269455	-17.5194842822	-16.9338487718
negative regulation of cell cycle phase transition (GO:1901988)	0.0	0.0	0.0	0.0	0.0	0.0	-7.18704583335	-11.2982805872	-31.8844660492	-37.5359929211	-51.0046714797	-44.7828059068
negative regulation of cellular component organization (GO:0051129)	0.0	0.0	1.91049967057	0.366594681714	1.2300744309	1.07362603029	-0.0	-0.793388369593	-5.00972109385	-14.9829166523	-17.8579295099	-18.9897007569
protein-DNA complex subunit organization (GO:0071824)	0.0	0.0	0.0	0.0	0.0	0.0	-1.31756938818	-7.84359324396	-17.5358676963	-26.8226620305	-31.3265552272	-26.1742340621
sister chromatid segregation (GO:0000819)	0.0	0.0	0.0	0.0	0.0	0.0	-0.765018875504	-0.297285546167	-28.3457521832	-48.6762229024	-72.7577741055	-63.4142080556
regulation of cell cycle phase transition (GO:1901987)	0.0	0.0	0.0	0.0	0.0	0.0	-7.89598525992	-12.1483956148	-35.4560099263	-48.2224611691	-66.8816041661	-55.5090444938
regulation of mitotic sister chromatid separation (GO:0010965)	0.0	0.0	0.0	0.0	0.0	0.0	-4.26282792339	-5.30835672431	-24.2603588287	-39.8813589977	-40.1295437117	-39.0160623516
regulation of mitotic sister chromatid segregation (GO:0033047)	0.0	0.0	0.0	0.0	0.0	0.0	-4.25725105818	-5.32480465806	-24.2292130249	-39.9858530882	-39.9985654769	-39.1201571062
mitotic spindle assembly checkpoint (GO:0007094)	0.0	0.0	0.0	0.0	0.0	0.0	-0.462544509785	-6.793918464	-11.4268320827	-20.3495903555	-19.7868137958	-19.4958733686
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	0.0	0.0	0.0	0.0	0.0	0.0	-7.19046808667	-8.3743382011	-22.4108770417	-43.1408457728	-43.2348272304	-42.3015772463
regulation of sister chromatid segregation (GO:0033045)	0.0	0.0	0.0	0.0	0.0	0.0	-4.27187993023	-5.29654033168	-24.3112121132	-40.0399338423	-40.0553971252	-38.9438449892
regulation of mitotic metaphase/anaphase transition (GO:0030071)	0.0	0.0	0.0	0.0	0.0	0.0	-7.51418999905	-8.73050169181	-23.2363238538	-44.6401951163	-44.7042364919	-43.7488623213
spindle assembly checkpoint (GO:0071173)	0.0	0.0	0.0	0.0	0.0	0.0	-0.428115641274	-6.50770335223	-10.9892026394	-19.6581524616	-19.1113337503	-18.7443591345
negative regulation of chromosome segregation (GO:0051985)	0.0	0.0	0.0	0.0	0.0	0.0	-5.44291315474	-6.39584879378	-15.9963643752	-31.9365578041	-32.0407234869	-31.3403514758
regulation of cell cycle process (GO:0010564)	0.0	0.226099375446	0.0	0.0	0.0	0.0	-15.8840689507	-29.3085415604	-50.6885593464	-90.2103236231	-124.97162556	-106.099399142
negative regulation of sister chromatid segregation (GO:0033046)	0.0	0.0	0.0	0.0	0.0	0.0	-2.40658377216	-6.63574204884	-11.2007970362	-25.9769249734	-25.7349844045	-25.3512639335
negative regulation of mitotic sister chromatid segregation (GO:0033048)	0.0	0.0	0.0	0.0	0.0	0.0	-2.39662331685	-6.5876665025	-11.1834106632	-26.1960948549	-25.9605804368	-25.5699753864
negative regulation of mitotic sister chromatid separation (GO:2000816)	0.0	0.0	0.0	0.0	0.0	0.0	-2.41443855221	-6.60333853479	-11.1487537928	-26.05644304	-25.817095298	-25.4307644423
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	0.0	0.0	0.0	0.0	0.0	0.0	-2.33275896141	-6.34875596455	-10.7154011615	-25.2529114476	-25.083231974	-24.6895660107
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	0.0	0.0	0.0	0.0	0.0	0.0	-2.38856858165	-6.6197719349	-11.1158174376	-26.1132691347	-25.8757653681	-25.4875729004
negative regulation of chromosome organization (GO:2001251)	0.0	0.0	0.0	0.0	0.0	0.0	-1.66094749215	-7.24685220852	-10.7630217763	-25.5651806293	-25.7912487859	-24.9943964916
mitotic sister chromatid segregation (GO:0000070)	0.0	0.0	0.0	0.0	0.0	0.0	-0.949802350259	-0.165993753401	-22.4512437297	-43.5674035027	-67.9922795145	-58.8413700503
negative regulation of mitosis (GO:0045839)	0.0	0.0	0.0	0.0	0.0	0.0	-1.66988088502	-4.97877975602	-8.68662614029	-21.3492000133	-21.1573352234	-20.7779367192
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	0.0	0.0	0.0	0.0	0.0	0.0	-1.30690110143	-4.15028174754	-7.53574602871	-19.1253231871	-19.0558269112	-18.4755978511
