	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
Parkinson's disease_Homo sapiens_hsa05012	4.15278089074	4.68571606818	1.91874568401	8.41469853896	20.2809396832	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Huntington's disease_Homo sapiens_hsa05016	8.65083997054	1.364150974	0.868708528789	8.28884149816	18.7409397802	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alzheimer's disease_Homo sapiens_hsa05010	12.2379413796	5.09573666396	2.08550604999	4.19301899348	20.8398519344	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	0.0	0.0	0.0	0.0	0.0	0.0	-0.160216389152	-1.1101226318	-3.65619050704	-3.63154988574	-8.83776544881	-10.8569151764
Mismatch repair_Homo sapiens_hsa03430	0.0	0.0	0.0	0.0	0.0	0.0	-1.28008362507	-8.61700114608	-11.6165222372	-12.1497342599	-22.5889901036	-14.3092669445
Pyrimidine metabolism_Homo sapiens_hsa00240	0.0	0.0	0.0	0.0	0.0	0.0	-0.0925765623777	-2.03792803297	-4.70650128376	-0.0543435618595	-12.7954894585	-14.7090479645
Cell cycle_Homo sapiens_hsa04110	0.0	0.417175441815	0.0	0.0	0.742206528414	0.0	-5.58109083875	-23.9455152638	-51.7337962038	-28.2232461029	-39.907667161	-49.28461306
p53 signaling pathway_Homo sapiens_hsa04115	2.99224418424	0.0	0.0	1.33637012443	4.77104406357	2.4576949225	-1.77688057469	-6.37275896316	-5.24071373331	-3.1119818654	-8.21938001159	-10.3996301385
DNA replication_Homo sapiens_hsa03030	0.0	0.0	0.0	0.0	0.0	0.0	-12.2921016092	-31.8095186771	-57.7643763091	-20.0372542027	-64.8738436158	-62.4781226474
HTLV-I infection_Homo sapiens_hsa05166	1.06129519272	0.207338560112	0.079636663775	3.70665622342	2.47352481314	0.0786811696756	-0.173468440608	-6.03156222724	-5.87761896373	-0.967304637905	-12.9093956546	-9.36274632275
Nucleotide excision repair_Homo sapiens_hsa03420	0.0	0.0	0.0	0.0	0.0	0.0	-6.67322644874	-13.4467750818	-12.0174278519	-8.48953935879	-34.240453547	-19.2538484078
Base excision repair_Homo sapiens_hsa03410	0.0	0.0	0.0	0.0	0.0	0.0	-0.562678354197	-14.7325919481	-21.5160355016	-3.43241540961	-25.5283254836	-17.0771984521
