	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
MP0009642_abnormal_blood_homeostasis_	3.41458519065	14.9208621866	14.4748972159	13.0223412799	15.4604481254	14.8307237775	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0005058_abnormal_lysosome_morphology_	0.0	14.273881597	13.2003322556	8.11267388799	12.5918369461	12.8351212543	0.0	0.0	0.0	0.0	0.0	0.0
MP0002429_abnormal_blood_cell_	5.79006413656	9.46494279997	10.5890693831	15.258486675	17.5521802099	16.849084821	-7.97628763959	-7.98787337162	-5.29752769067	-4.53822011527	-4.5161248505	-7.58123340473
MP0000598_abnormal_liver_morphology_	1.46584583875	4.77603153739	4.78119403132	8.75813820126	10.7030036786	11.9978993075	-0.758858556592	-1.03142211218	-0.914757584577	-0.187144021311	-0.548333402691	-0.642530065504
MP0008469_abnormal_protein_level_	0.53086143827	3.43211692154	3.60024863208	7.38081821596	6.02907494152	10.576207022	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0002723_abnormal_immune_serum_	5.23838646613	9.56161993626	7.20177606066	13.0313204891	9.46073273139	10.9092837006	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0002420_abnormal_adaptive_immunity_	8.67957763956	12.6175609261	9.86851144074	14.0248326462	17.7844563622	17.7554309152	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0000703_abnormal_thymus_morphology_	2.75398067091	2.82856972549	6.64663681614	7.49754196731	12.0628016415	13.1544359067	-8.2168233526	-8.99963711538	-3.71014512884	-7.46853694858	-6.85801809046	-8.11578767322
MP0001819_abnormal_immune_cell_	7.5837542613	12.5201304237	8.53378542508	12.4596906286	16.1655493212	16.5140632372	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0005376_homeostasis/metabolism_phenot_	2.87435568835	9.07371515439	5.44793550539	10.7983283746	4.96269385374	10.4250533194	-4.50605269567	-3.82979958104	-7.80106220671	-4.21287570266	-3.93473127528	-7.36089454718
MP0002078_abnormal_glucose_homeostasis_	3.77863333693	8.01431151119	2.94935001193	8.80960071173	8.75031216436	12.0382501369	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0000716_abnormal_immune_system_	8.76881816539	7.90746585689	6.66078285355	15.344904169	18.1317159818	16.2744057977	-5.45696207943	-0.419246410761	-0.0173775681992	-0.390330073498	-0.264435770925	-1.20960289356
MP0003953_abnormal_hormone_level_	7.33601226037	2.69813692599	9.52148223497	10.616193959	10.6728689997	13.6179312764	-0.152884113018	-0.0	-0.0	-0.0	-0.0	-0.0
MP0002452_abnormal_antigen_presenting_	6.20233912216	14.0978182585	5.52047461426	10.9781801486	9.19825729838	12.071359968	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0000627_abnormal_mammary_gland_	4.15223253449	1.01372756568	7.14238657382	7.56500253249	4.11433651817	13.3894992405	-0.0	-2.84683280629	-1.22902434289	-0.447549675053	-1.43651310332	-2.55311492818
MP0000001_mammalian_phenotype_	6.66882705896	7.70342333424	12.9333640826	10.8424268168	6.31674144766	7.10172031623	-0.0	-1.95322537748	-1.48526040438	-0.0	-0.399051802601	-0.0
MP0002398_abnormal_bone_marrow_	6.18055879794	3.14481921941	5.81417183895	6.58125138652	11.3554586726	9.89474134013	-6.34981394825	-10.1286467718	-9.47701079643	-6.49804696755	-6.85490277681	-9.96288322647
MP0002006_tumorigenesis_	7.12901099728	14.023699821	3.00068202598	8.06229324081	18.1701874962	12.7587062515	0.0	0.0	0.0	0.0	0.0	0.0
MP0002419_abnormal_innate_immunity_	5.22799901544	13.3162822694	9.27718598745	8.22111927483	3.64776441201	5.77658309149	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
MP0005535_abnormal_body_temperature_	3.82508877818	8.11810787847	0.0	4.42775223835	6.54378093973	6.87661684836	0.0	0.0	0.0	0.0	0.0	0.0
MP0002083_premature_death_	5.56751270554	1.36359727437	1.83081606744	8.51076406092	5.56915829978	6.42355376668	-1.80455430987	-3.33145421927	-2.25321304311	-4.66595933481	-1.83837480412	-6.75175112673
MP0005621_abnormal_cell_physiology_	5.39732258336	5.42854642808	1.02051602088	10.3950614124	7.18150812613	1.856026803	-3.8361341071	-8.00149584223	-9.82984623614	-8.56275547109	-10.1082051555	-5.47864866899
MP0002166_altered_tumor_susceptibility_	9.05404133391	10.3017179616	3.74635531018	2.73851004264	14.8051740397	8.22875620177	0.0	0.0	0.0	0.0	0.0	0.0
MP0002080_prenatal_lethality_	5.31177583796	1.47416846501	2.8068300249	4.34118849738	5.2823264287	1.68073385447	-32.689970364	-47.129967457	-43.509455241	-56.6569301522	-52.4874309525	-52.1871245849
MP0000477_abnormal_intestine_morphology_	7.9222361371	0.0	0.0	2.85370171606	0.861251646134	8.72294871142	-0.458208745588	-3.2558245688	-3.10841790156	-1.17890844254	-2.03275167459	-1.56148011343
MP0002169_no_abnormal_phenotype_	7.17113054778	0.61054797244	7.43435760354	2.75424962779	2.3464242986	3.65613976555	-1.09729056433	-6.6403438447	-4.17136528751	-2.61498432795	-4.1741089884	-2.84672300719
MP0000313_abnormal_cell_death_	6.00039657039	2.29299332028	0.170177377829	7.23110632139	0.0	1.70786538138	-9.8639604735	-12.3085155274	-11.8689163326	-12.9673777387	-13.984604828	-13.0300865269
MP0000266_abnormal_heart_morphology_	8.16985314168	1.10029438965	6.31245682315	5.74121829063	2.13711820259	5.03764791411	-0.479911379873	-0.0	-0.0	-0.0	-0.0	-0.0
MP0002873_normal_phenotype_	7.94359960893	0.590504911037	7.39582279586	2.71982830798	2.31391529698	3.61248558556	-1.07778765158	-6.58720916105	-4.12163090444	-2.57637070143	-4.12307688231	-2.73514990508
MP0003077_abnormal_cell_cycle_	0.547559151846	0.0816372839269	0.714176857542	0.0	0.0	0.0899857047679	-49.7432470089	-75.7249391823	-95.9534841461	-88.20891485	-96.170044602	-83.620804464
MP0002085_abnormal_embryonic_tissue_	0.0	0.0	0.0	0.0	0.0	0.0	-11.4856654795	-19.0320450546	-20.4732832743	-22.1592372966	-18.6341592726	-19.4916973072
MP0010094_abnormal_chromosome_stability_	0.0	0.0	0.0	0.0	0.0	0.0	-23.942689392	-43.6494575876	-60.3283001139	-50.2221563157	-60.482355874	-65.1470253282
MP0003699_abnormal_female_reproductive_	0.0	0.0	0.0	0.0	0.0	0.153808426675	-4.84091044274	-8.67400826837	-10.2022022962	-13.6298549543	-12.5436841591	-13.6899219223
MP0004957_abnormal_blastocyst_morpholog_	0.0	0.0	0.0	0.0	0.0	0.0	-11.3865971713	-26.4236907588	-25.9259270023	-41.0269812058	-39.8681883376	-34.1497738528
MP0000350_abnormal_cell_proliferation_	1.81875844836	0.462872229267	4.03122871946	6.27735474042	0.0	3.73739338189	-9.22009787966	-27.2370110922	-26.7029615193	-28.293214894	-26.9836574053	-39.3719676084
MP0003111_abnormal_nucleus_morphology_	0.0	0.0	0.0	0.0	0.0	0.0	-32.0190941294	-72.2664053677	-55.1305905561	-73.571435827	-71.750241364	-64.8428549255
MP0001119_abnormal_female_reproductive_	3.05033163488	0.243262948612	0.0	0.0	0.0	1.11614971528	-3.24237984377	-4.09404461355	-5.58005294296	-6.14867067588	-5.71079403472	-6.94013070032
