ratio	agent	concentration(UM)	time(hr)	C1	C2	C3	Ave	S.D.
phospho Akt/ alpha Tubulin	Trametinib	0	1	0.072	0.082	0.074	0.075	0.006
phospho Akt/ alpha Tubulin	Trametinib	0.001	1	0.055	0.06	0.064	0.059	0.004
phospho Akt/ alpha Tubulin	Trametinib	0.003	1	0.055	0.069	0.088	0.067	0.016
phospho Akt/ alpha Tubulin	Trametinib	0.01	1	0.05	0.106	0.064	0.067	0.029
phospho Erk/ alpha Tubulin	Trametinib	0	1	1.001	0.759	0.665	0.787	0.174
phospho Erk/ alpha Tubulin	Trametinib	0.001	1	0.012	0.012	0.012	0.012	0
phospho Erk/ alpha Tubulin	Trametinib	0.003	1	0.017	0.016	0.012	0.015	0.002
phospho Erk/ alpha Tubulin	Trametinib	0.01	1	0.006	0.015	0.009	0.01	0.005
cyclin D/ alpha Tubulin	Trametinib	0	1	0.035	0.023	0.032	0.029	0.006
cyclin D/ alpha Tubulin	Trametinib	0.001	1	0.022	0.016	0.026	0.02	0.005
cyclin D/ alpha Tubulin	Trametinib	0.01	1	0.023	0.023	0.031	0.025	0.005
