	gene_symbol	1.11
216074_x_at	WWC1	2.53618162949e-07
208570_at	WNT1	3.31040219186e-07
221682_s_at	PCDHGB6	5.69188046193e-07
205798_at	IL7R	5.87702123091e-07
214589_at	FGF12	-1.35095562641e-06
217335_at	FLJ11292	1.504104646e-06
214995_s_at	-666	1.71453580942e-06
206333_at	MSI1	1.75047555663e-06
203722_at	ALDH4A1	1.95170359522e-06
207955_at	CCL27	-2.40352723953e-06
218077_s_at	ZDHHC3	2.45296207513e-06
220093_at	ANTXR1	2.61776280661e-06
206623_at	PDE6A	-2.63247126474e-06
212393_at	SBF1	2.85336141215e-06
215658_at	-666	3.17227379071e-06
203107_x_at	RPS2	3.4429488361e-06
220287_at	ADAMTS9	4.14870698351e-06
204347_at	AK4	4.27264519873e-06
204960_at	PTPRCAP	4.39265652992e-06
218462_at	RPF1	-4.66972396932e-06
216585_at	-666	5.05250625046e-06
203224_at	RFK	5.07765031626e-06
206614_at	GDF5	5.12884648551e-06
204909_at	DDX6	5.15578390329e-06
205030_at	FABP7	5.26924516791e-06
200010_at	RPL11	6.32758818121e-06
203029_s_at	PTPRN2	-6.43205867103e-06
209869_at	ADRA2A	-6.44047971215e-06
211322_s_at	SARDH	6.72980068463e-06
216928_at	TAL1	6.76674386161e-06
204434_at	SPATA2	7.08002783367e-06
205651_x_at	RAPGEF4	-7.47141310933e-06
213783_at	MFNG	-7.65962232053e-06
209491_s_at	AMPD3	7.95556931236e-06
216540_at	TRD@	8.13827740158e-06
219034_at	PARP16	-8.3229215219e-06
208856_x_at	RPLP0	8.56043437997e-06
221198_at	SCT	-8.60214277709e-06
212351_at	EIF2B5	-8.99339367703e-06
202777_at	SHOC2	9.13476050236e-06
214292_at	ITGB4	-9.34847383717e-06
212392_s_at	PDE4DIP	-1.05621544745e-05
52159_at	HEMK1	1.07045415463e-05
211870_s_at	PCDHA3	1.07579559253e-05
211019_s_at	LSS	-1.10843440058e-05
212183_at	NUDT4	-1.14726269739e-05
37986_at	EPOR	-1.14739529253e-05
217620_s_at	PIK3CB	1.20715362266e-05
214498_at	ASIP	-1.21912622109e-05
207985_at	-666	-1.22338449486e-05
211587_x_at	CHRNA3	-1.35253585777e-05
215399_s_at	OS9	-1.36783089374e-05
213701_at	C12ORF29	-1.37656898812e-05
208148_at	MYH4	1.40408855718e-05
55692_at	ELMO2	-1.41637083919e-05
220068_at	VPREB3	1.41796490204e-05
211800_s_at	USP4	-1.42101582358e-05
220390_at	AGBL2	-1.43382910706e-05
211836_s_at	MOG	-1.44247842948e-05
207051_at	SLC17A4	-1.63263846978e-05
220300_at	RGS3	-1.6438412739e-05
217830_s_at	NSFL1C	-1.66371561445e-05
208840_s_at	G3BP2	-1.66465978871e-05
208288_at	ABCB11	1.67863558535e-05
205821_at	KLRK1	1.68067600416e-05
221602_s_at	FAIM3	1.69175115695e-05
218395_at	ACTR6	1.71839642423e-05
201431_s_at	DPYSL3	1.72706598418e-05
215182_x_at	-666	1.73652906288e-05
211768_at	LAT2	-1.77090289611e-05
213227_at	PGRMC2	-1.7769581239e-05
218897_at	TMEM177	1.79425743613e-05
221949_at	UBE2D4	1.79683931649e-05
219613_s_at	SIRT6	-1.80491640131e-05
217285_at	DGCR14	-1.8169582264e-05
218116_at	C9ORF78	1.82049298317e-05
200994_at	IPO7	-1.83986209268e-05
210442_at	IL1RL1	-1.88796553985e-05
203644_s_at	MON1B	-1.89012328602e-05
200801_x_at	ACTB	1.90722370953e-05
206779_s_at	ASMT	1.91607460665e-05
200864_s_at	RAB11A	-1.94260936624e-05
205246_at	PEX13	-1.99565881793e-05
210421_s_at	SLC24A1	-2.05471339409e-05
216704_at	-666	2.06790646207e-05
201468_s_at	NQO1	2.15399301315e-05
208520_at	OR10H3	2.20192915701e-05
208017_s_at	MCF2	-2.20674677114e-05
201840_at	NEDD8	-2.20962510199e-05
207270_x_at	CD300C	-2.22465303523e-05
217900_at	IARS2	-2.25078817772e-05
207115_x_at	MBTD1	2.27582865578e-05
64488_at	IRGQ	2.30279204828e-05
216044_x_at	FAM69A	-2.31770906938e-05
201610_at	ICMT	2.4075326105e-05
215054_at	EPOR	2.46427913086e-05
52078_at	TMEM222	-2.46547921175e-05
213291_s_at	UBE3A	-2.47631411881e-05
205175_s_at	KHK	2.51915791998e-05
214184_at	NPFF	-2.52629776315e-05
215365_at	CACNB2	2.56983635166e-05
216968_at	MASP2	2.5919734708e-05
214033_at	ABCC6	2.61558273566e-05
207759_s_at	-666	-2.63446904139e-05
216546_s_at	CHI3L1	-2.7104440605e-05
217464_at	-666	-2.73855460823e-05
209982_s_at	NRXN2	-2.76045341941e-05
207633_s_at	MUSK	-2.76698376988e-05
201130_s_at	CDH1	-2.77897931879e-05
210607_at	FLT3LG	-2.79098570285e-05
206694_at	PNLIPRP1	-2.80793399089e-05
207491_at	MOGAT2	-2.81747715985e-05
216142_at	-666	-2.86857742371e-05
216482_x_at	ZNF79	2.94957648925e-05
221297_at	GPRC5D	-2.97088664095e-05
203113_s_at	EEF1D	-2.97817543411e-05
218756_s_at	DHRS11	-2.98889045128e-05
206174_s_at	PPP6C	2.99270830307e-05
219267_at	GLTP	-3.00740181499e-05
204394_at	SLC43A1	3.00829361855e-05
206329_at	EXTL1	3.08507081892e-05
211570_s_at	RAPSN	3.13119720827e-05
215110_at	MBL1P	3.1326245219e-05
207745_at	CABP2	-3.13348213865e-05
217616_at	-666	3.13991119414e-05
205618_at	PRRG1	-3.16055386429e-05
213972_at	-666	3.18700963037e-05
208552_at	GRIK4	-3.34119009264e-05
219794_at	VPS53	-3.36491259893e-05
214923_at	ATP6V1D	-3.47570902115e-05
217180_at	-666	3.51396951939e-05
207604_s_at	SLC4A7	-3.52037884385e-05
221351_at	HTR1A	3.52318357517e-05
215343_at	CCDC88C	3.53619173984e-05
205170_at	STAT2	-3.56333560985e-05
217895_at	PTCD3	-3.57053419615e-05
215725_at	DGCR11	3.5979955129e-05
200017_at	RPS27A	-3.60774337204e-05
214115_at	VAMP5	-3.63146907099e-05
216815_at	-666	-3.64499724876e-05
213199_at	C2CD3	-3.69046963365e-05
217038_at	-666	3.76844705862e-05
208475_at	FRMD4A	-3.77654354589e-05
204195_s_at	PKNOX1	-3.79379514795e-05
201918_at	SLC25A36	-3.82066082148e-05
215597_x_at	-666	3.84207587252e-05
210486_at	ANKMY1	-3.85565741023e-05
208489_at	GJA8	-3.91878049127e-05
208544_at	ADRA2B	-3.92467546608e-05
209804_at	DCLRE1A	3.96273900251e-05
222365_at	-666	-3.96922436889e-05
219964_at	ST7L	4.01515664453e-05
203960_s_at	HSPB11	4.02444338723e-05
219670_at	BEND5	-4.1348816118e-05
214893_x_at	HCN2	4.16537841444e-05
206470_at	PLXNC1	4.17939468978e-05
217173_s_at	LDLR	-4.19175082916e-05
210752_s_at	MLX	4.21096534659e-05
207814_at	DEFA6	4.30837172193e-05
219708_at	NT5M	-4.33242942994e-05
202666_s_at	ACTL6A	4.34411118199e-05
215461_at	ZNRF4	-4.37417738394e-05
221230_s_at	ARID4B	4.40599870429e-05
200989_at	HIF1A	-4.40645162445e-05
215510_at	ETV2	-4.41455856831e-05
205834_s_at	PART1	4.42428703762e-05
200770_s_at	LAMC1	4.44517768116e-05
206684_s_at	ATF7	4.45209296263e-05
209998_at	PIGO	-4.46881015545e-05
219887_at	CCDC87	-4.50567411487e-05
215153_at	NOS1AP	-4.516214235e-05
214003_x_at	RPS20	-4.61876122637e-05
216831_s_at	RUNX1T1	4.62115788375e-05
AFFX-r2-P1-cre-3_at	-666	4.62886247138e-05
214612_x_at	MAGEA6	4.63133305979e-05
