	gene_symbol	10.0
221074_at	NCR2	-5.88264122504e-07
203369_x_at	PDLIM7	1.70647752664e-06
201880_at	ARIH1	-1.89234390724e-06
216811_at	-666	-2.11097100388e-06
212224_at	ALDH1A1	2.28324267538e-06
206117_at	TPM1	-2.40592525417e-06
212635_at	TNPO1	-2.49505204589e-06
205604_at	HOXD9	-2.92095559409e-06
204280_at	RGS14	3.0915729253e-06
210964_s_at	GYG2	3.14152593894e-06
204087_s_at	SLC5A6	-3.23520174519e-06
207253_s_at	UBN1	-3.69306809017e-06
207118_s_at	-666	-4.07200653395e-06
213432_at	MUC5B	-4.11964751601e-06
218248_at	FAM111A	-4.141729698e-06
212415_at	SEPT6	4.39256565866e-06
214070_s_at	ATP10B	4.93383609491e-06
204016_at	LARS2	5.05564464268e-06
214862_x_at	-666	-5.3139155002e-06
222342_at	-666	5.91527374145e-06
218101_s_at	NDUFC2	-6.20387540784e-06
205491_s_at	GJB3	6.49175007101e-06
200628_s_at	WARS	6.77567326562e-06
208584_at	SNCG	6.81095059903e-06
216164_at	LRRN2	6.84196985699e-06
219975_x_at	OLAH	-6.9593630253e-06
200929_at	TMED10	6.97638495177e-06
220879_at	-666	-7.21266630045e-06
218071_s_at	MKRN2	-7.63768875622e-06
209257_s_at	SMC3	7.64261357171e-06
218170_at	ISOC1	7.91641904172e-06
1431_at	CYP2E1	7.93396076137e-06
217221_x_at	RBM10	8.06689469379e-06
207363_at	RS1	8.22541702841e-06
218190_s_at	UQCR10	8.2672619707e-06
206332_s_at	IFI16	-8.80342323552e-06
206196_s_at	RUNDC3A	-8.90307751192e-06
201272_at	AKR1B1	-9.41307829364e-06
215348_at	ADCY1	-9.47742912792e-06
213728_at	LAMP1	-9.56227651606e-06
215468_at	LOC647070	-9.86099376908e-06
216921_s_at	KRT35	9.9712529867e-06
209258_s_at	SMC3	1.00075138928e-05
207089_at	NRAP	-1.00780398756e-05
210185_at	CACNB1	1.01824790549e-05
217069_at	MLL4	-1.01858484596e-05
213206_at	GOSR2	1.0188802697e-05
217472_at	-666	1.02652439065e-05
203410_at	AP3M2	-1.05398096017e-05
215218_s_at	WDR62	1.06449110322e-05
220425_x_at	ROPN1B	-1.08416775937e-05
220812_s_at	HHLA2	1.08827432147e-05
216169_at	-666	-1.09697836796e-05
