	gene_symbol	3.33
204431_at	TLE2	-9.02669334736e-08
211575_s_at	UBE3A	1.28765857928e-07
216110_x_at	-666	-1.12771166629e-06
217712_at	-666	1.19351604218e-06
207873_x_at	SEZ6L	-1.48022747563e-06
202031_s_at	WIPI2	1.86291329031e-06
209759_s_at	ECI1	-1.98366970594e-06
212244_at	-666	-2.22011692973e-06
217440_at	-666	2.32448606986e-06
219293_s_at	OLA1	-2.46181740773e-06
221461_at	TAS2R9	2.58982619743e-06
217569_x_at	-666	3.38570937254e-06
207959_s_at	DNAH9	-3.78163875833e-06
217862_at	PIAS1	-3.83586653875e-06
215383_x_at	SPG21	-4.66914010927e-06
203448_s_at	TERF1	-5.82369543907e-06
216629_at	SRRM2	5.97570408527e-06
202181_at	KIAA0247	-6.0521124069e-06
219811_at	DGCR8	6.40749754328e-06
208349_at	TRPA1	6.75568233334e-06
210205_at	B3GALT4	-6.93733935417e-06
213978_at	MTSS1L	-6.94141081977e-06
202836_s_at	TXNL4A	6.98781628059e-06
203063_at	PPM1F	-7.39014524305e-06
221957_at	PDK3	-7.60228637799e-06
214730_s_at	GLG1	7.63180840923e-06
206836_at	SLC6A3	-7.79389640533e-06
213058_at	TTC28	7.95852503213e-06
202057_at	KPNA1	8.12319616188e-06
211380_s_at	PRKG1	8.38835929674e-06
205712_at	PTPRD	8.44540852633e-06
207189_s_at	ZZEF1	-8.71569055e-06
219202_at	RHBDF2	-8.73959658324e-06
221716_s_at	ACSBG2	-9.06858869724e-06
221128_at	ADAM19	-9.0958329105e-06
219726_at	NLGN3	-9.70214311848e-06
217510_at	CRX	9.71599125137e-06
216517_at	IGKV1D-8	9.82171189731e-06
211980_at	COL4A1	9.87086193202e-06
210647_x_at	PLA2G6	-9.98165832282e-06
205578_at	ROR2	-1.0225732435e-05
208887_at	EIF3G	-1.02826234618e-05
220208_at	ADAMTS13	1.03052822661e-05
201571_s_at	DCTD	-1.04222485878e-05
210769_at	CNGB1	-1.07953915883e-05
211419_s_at	CHN2	1.10070939575e-05
214445_at	ELL2	1.11229500627e-05
211713_x_at	KIAA0101	1.14357153591e-05
204148_s_at	-666	-1.19526756084e-05
214348_at	TACR2	1.2159473994e-05
212668_at	SMURF1	-1.2824552289e-05
207558_s_at	PITX2	-1.30755311571e-05
222323_at	-666	1.33992773894e-05
217332_at	CTAGE11P	1.35285742349e-05
208545_x_at	TAF4	1.35732620138e-05
216586_at	-666	-1.37059447649e-05
201258_at	RPS16	-1.40396846844e-05
215274_at	SLC12A3	1.62600358247e-05
204024_at	OSGIN2	1.66038282485e-05
221178_at	BAIAP2L2	-1.67455303613e-05
204508_s_at	CA12	1.71066246301e-05
208251_at	KCNC4	-1.75584956775e-05
204693_at	CDC42EP1	-1.77804940863e-05
205064_at	SPRR1B	-1.83568390657e-05
201410_at	PLEKHB2	-1.83714601193e-05
201038_s_at	ANP32A	-1.85385389029e-05
205253_at	PBX1	1.88480915412e-05
205275_at	GTPBP1	-1.90808916413e-05
215403_at	-666	-1.90993733965e-05
213565_s_at	SMAD6	-1.91249643825e-05
217877_s_at	GPBP1L1	-1.98311076073e-05
219481_at	TTC13	-1.98329712375e-05
206436_at	MPPED1	1.98426018161e-05
217524_x_at	-666	1.98514673173e-05
212430_at	RBM38	-1.99156426011e-05
220278_at	KDM4D	1.99994883999e-05
218354_at	TRAPPC2L	2.04819858746e-05
211327_x_at	HFE	2.08020388961e-05
217836_s_at	YY1AP1	2.08149660709e-05
219766_at	B9D2	-2.12853722904e-05
213027_at	TROVE2	-2.20477493116e-05
207497_s_at	MS4A2	2.2242820329e-05
214478_at	SPP2	2.23960354342e-05
215143_at	DPY19L2P2	2.2756599147e-05
203356_at	CAPN7	-2.29657643274e-05
210737_at	TUB	2.31858721799e-05
216410_at	-666	2.34844887488e-05
202433_at	SLC35B1	2.37661244916e-05
205642_at	CNTRL	-2.38729423181e-05
214002_at	MYL6	2.43026347196e-05
215417_at	EXOC6B	2.53605159397e-05
202544_at	GMFB	-2.54305189068e-05
210322_x_at	UTY	-2.58275256443e-05
210168_at	C6	2.58388372479e-05
208371_s_at	RING1	-2.61001590134e-05
216691_at	-666	2.636673079e-05
210821_x_at	CENPA	2.65324388949e-05
216403_at	SP3P	2.68360265537e-05
208588_at	FKSG2	-2.79716107048e-05
217718_s_at	YWHAB	-2.81965757175e-05
209377_s_at	HMGN3	2.83292644816e-05
204929_s_at	VAMP5	-2.86116649099e-05
200916_at	TAGLN2	2.8622971338e-05
211060_x_at	GPAA1	-2.89789729849e-05
207737_at	-666	-2.91831358793e-05
205580_s_at	HRH1	-2.9316721554e-05
217322_x_at	-666	-2.93680308774e-05
201182_s_at	CHD4	-2.93801482607e-05
212788_x_at	FTL	-2.96827275051e-05
214179_s_at	NFE2L1	-3.01920031389e-05
206557_at	ZNF702P	-3.03421084257e-05
203214_x_at	CDK1	3.1002350927e-05
216116_at	NCKIPSD	3.11577177572e-05
222352_at	-666	-3.12316508576e-05
203670_at	TTLL3	3.14050117436e-05
210267_at	NIPAL3	-3.14127281718e-05
211097_s_at	PBX2	-3.18769640395e-05
218642_s_at	CHCHD7	3.19503158708e-05
210248_at	WNT7A	-3.24714490708e-05
218671_s_at	ATPIF1	3.27671558291e-05
217027_x_at	KPNB1	3.28409221395e-05
203369_x_at	PDLIM7	3.3321903248e-05
221551_x_at	ST6GALNAC4	-3.33613224669e-05
216155_at	-666	-3.38150279201e-05
216429_at	-666	-3.39573750444e-05
215558_at	UBR2	3.45377076103e-05
204843_s_at	PRKAR2A	-3.49000159508e-05
205556_at	MSX2	-3.53441339322e-05
207384_at	PGLYRP1	-3.5400302554e-05
209321_s_at	ADCY3	3.5407946221e-05
208219_at	ACVR1B	-3.55577503486e-05
210755_at	HGF	-3.63241199541e-05
219390_at	FKBP14	3.67134387365e-05
208124_s_at	SEMA4F	3.72861308369e-05
209775_x_at	SLC19A1	3.73333188218e-05
211215_x_at	DIO2	3.74883040415e-05
219070_s_at	MOSPD3	3.74975751848e-05
214912_at	-666	3.79166675867e-05
211943_x_at	TPT1	-3.83669590142e-05
207523_at	C6ORF10	-3.86762583847e-05
216145_at	-666	3.92710012002e-05
216281_at	DICER1	-3.94494584604e-05
221397_at	TAS2R10	-3.97133178639e-05
210622_x_at	CDK10	-4.02357538416e-05
220545_s_at	TSKS	-4.03025581211e-05
216676_x_at	KIR3DL3	-4.1258783252e-05
221409_at	OR2S2	4.13876735809e-05
212804_s_at	GAPVD1	-4.14255560728e-05
202078_at	COPS3	-4.15783806371e-05
200091_s_at	RPS25	4.1606795635e-05
208696_at	CCT5	-4.20271786843e-05
205446_s_at	ATF2	4.24848546352e-05
218140_x_at	SRPRB	4.27193236157e-05
201804_x_at	TBCB	-4.28134033427e-05
