	gene_symbol	0.04
214388_at	-666	4.35236339173e-08
207473_at	MLN	-4.27485014047e-07
217068_at	-666	8.51754549296e-07
222105_s_at	NKIRAS2	-9.68728168405e-07
215777_at	IGLV4-60	-1.30997269108e-06
205256_at	ZBTB39	-1.38194464416e-06
207817_at	IFNW1	1.55111454088e-06
215743_at	NMT2	-1.97510559179e-06
205971_s_at	-666	-2.15563763203e-06
211627_x_at	ESR1	2.27374758064e-06
205902_at	KCNN3	2.64077908284e-06
222007_s_at	FKBP8	-2.85631343046e-06
214902_x_at	-666	3.79097504895e-06
203619_s_at	FAIM2	-3.82833941155e-06
217213_at	SLC6A2	4.13077887968e-06
216811_at	-666	4.34404444584e-06
215824_at	NUDT7	4.41085377379e-06
204104_at	SNAPC2	4.61651926067e-06
217271_at	GNA11	4.68148639426e-06
206289_at	HOXA4	-4.84184308403e-06
222090_at	LOC100134713	-5.10639201815e-06
214539_at	SERPINB10	5.18314109826e-06
49051_g_at	DTX3	-5.46178496641e-06
203872_at	ACTA1	-5.57576103815e-06
59999_at	HIF1AN	6.2722479206e-06
211052_s_at	TBCD	6.48183106427e-06
220726_at	-666	6.60067350308e-06
202238_s_at	NNMT	-6.83466674284e-06
218545_at	CCDC91	7.33636804488e-06
207653_at	FOXD2	7.44656362143e-06
218597_s_at	CISD1	7.63594904568e-06
213303_x_at	ZBTB7A	8.70076126481e-06
216245_at	IL1RN	8.8843951635e-06
218133_s_at	NIF3L1	-8.94927185019e-06
206158_s_at	CNBP	-9.02114459274e-06
220860_at	PURG	-9.22310012572e-06
206712_at	GRTP1	-9.5156640031e-06
218096_at	AGPAT5	-9.63554948317e-06
211389_x_at	KIR3DS1	1.00944724437e-05
221415_s_at	GJA9	-1.05625340385e-05
221145_at	-666	1.11776574157e-05
201790_s_at	DHCR7	-1.21082661208e-05
219276_x_at	C9ORF82	-1.22462982244e-05
206562_s_at	CSNK1A1	-1.24713623487e-05
204354_at	POT1	-1.25155731079e-05
205169_at	RBBP5	1.25343420095e-05
207064_s_at	AOC2	-1.25895849938e-05
206253_at	DLG2	-1.28183487443e-05
210690_at	KLRC4	-1.34295263367e-05
221629_x_at	FAM203A	-1.37275291915e-05
207881_at	-666	-1.39294984419e-05
217508_s_at	C18ORF25	1.4037167492e-05
203036_s_at	MTSS1	-1.43245843302e-05
214366_s_at	ALOX5	-1.4332272953e-05
215376_at	-666	1.44482645696e-05
209995_s_at	TCL1A	1.45355306237e-05
217372_at	-666	1.45865228466e-05
201053_s_at	PSMF1	1.4679826465e-05
219373_at	DPM3	-1.47068519613e-05
206735_at	CHRNA4	-1.4743374158e-05
217942_at	MRPS35	1.47491122796e-05
217158_at	-666	-1.59491259517e-05
215365_at	CACNB2	-1.59725336923e-05
207349_s_at	UCP3	-1.60519899978e-05
210183_x_at	PNN	-1.60901216028e-05
220570_at	RETN	1.6339514769e-05
201260_s_at	SYPL1	1.65937885836e-05
205631_at	KIAA0586	-1.66465858686e-05
214159_at	PLCE1	-1.68167165813e-05
202190_at	CSTF1	-1.70093968337e-05
212874_at	APOE	1.70603374593e-05
203814_s_at	NQO2	-1.72498500025e-05
206136_at	FZD5	-1.76692174848e-05
206361_at	GPR44	1.7746747274e-05
205115_s_at	RBM19	-1.90578450073e-05
211512_s_at	OGFR	1.90968150528e-05
214541_s_at	QKI	-1.933970773e-05
202968_s_at	DYRK2	1.93815414608e-05
207061_at	ERN1	-1.94021522118e-05
218334_at	THOC7	-1.981935597e-05
216458_at	PQLC3	1.99491429744e-05
211024_s_at	NKX2-1	2.00742498855e-05
205334_at	S100A1	2.03365213575e-05
221586_s_at	E2F5	-2.04111165518e-05
216504_s_at	SLC39A8	-2.04216287037e-05
217386_at	-666	2.06324591635e-05
219122_s_at	THG1L	2.09280243527e-05
207399_at	BFSP2	-2.11214981178e-05
220393_at	LGSN	2.14502026378e-05
215987_at	RAPGEF2	-2.15082377847e-05
210610_at	CEACAM1	-2.15349168588e-05
52975_at	FAM125B	2.16930358641e-05
216200_at	PLEKHM1	-2.18725490663e-05
213120_at	UHRF1BP1L	2.19046615756e-05
211668_s_at	PLAU	-2.20384827082e-05
203646_at	FDX1	2.2197581951e-05
209291_at	ID4	2.22594600062e-05
206071_s_at	EPHA3	2.23964116806e-05
216070_at	-666	-2.24076756633e-05
201784_s_at	C11ORF58	-2.24444109307e-05
201628_s_at	RRAGA	2.3090974894e-05
203409_at	DDB2	2.31882003225e-05
216269_s_at	ELN	2.35599785502e-05
217285_at	DGCR14	2.36468857159e-05
49049_at	DTX3	-2.38866210073e-05
201657_at	ARL1	2.39416943562e-05
215435_at	-666	-2.41064118903e-05
220970_s_at	KRTAP2-4	-2.48225047093e-05
215673_at	TEF	-2.48908115826e-05
210161_at	-666	-2.51224177683e-05
207656_s_at	ACOX1	-2.53091987024e-05
208434_at	MECOM	2.54307968209e-05
215527_at	KHDRBS2	-2.58550621411e-05
206490_at	DLGAP1	-2.62879155839e-05
217190_x_at	ESR1	2.63655315417e-05
220098_at	HYDIN	2.65014655758e-05
207896_s_at	DLEC1	2.65042802438e-05
206540_at	GLB1L	2.65569284589e-05
206716_at	UMOD	-2.66472425872e-05
204808_s_at	TMEM5	2.68980394527e-05
215858_at	-666	-2.71380248582e-05
206050_s_at	RNH1	2.71454248954e-05
219491_at	LRFN4	2.71961815121e-05
219022_at	C12ORF43	-2.7296098467e-05
206231_at	KCNN1	-2.79007379515e-05
207662_at	TBX1	2.79496731643e-05
215163_at	-666	-2.80047085803e-05
220088_at	C5AR1	-2.81968024508e-05
202810_at	DRG1	2.84392841739e-05
221785_at	WIZ	2.86019413789e-05
217275_at	TSSK2	2.86614627507e-05
215316_at	-666	2.88864790634e-05
218356_at	FTSJ2	2.96957184545e-05
217355_at	-666	-2.97894880198e-05
217633_at	URB1	3.01496691733e-05
221443_x_at	PRLH	-3.11226614688e-05
217106_x_at	DIMT1	3.13719154366e-05
208572_at	HIST3H3	3.13980413668e-05
219584_at	PLA1A	-3.18477699543e-05
217006_x_at	FASN	3.20563288882e-05
213021_at	GOSR1	-3.21685667164e-05
209058_at	EDF1	-3.24122472116e-05
209601_at	ACOX1	-3.26990368169e-05
205601_s_at	HOXB5	3.29110571774e-05
33768_at	DMWD	-3.32353614369e-05
217410_at	AGRN	-3.33213571011e-05
216048_s_at	RHOBTB3	-3.34730629497e-05
201170_s_at	BHLHE40	3.37405885357e-05
206252_s_at	AVPR1A	3.37900058377e-05
216639_at	SRPX2	-3.45327730603e-05
40420_at	STK10	-3.50045540491e-05
207750_at	-666	-3.51386452999e-05
219187_at	FKBPL	3.54099903208e-05
41657_at	STK11	3.55101450717e-05
215861_at	-666	3.55767586355e-05
216079_at	EPM2A	-3.61235851211e-05
209463_s_at	TAF12	-3.66294047325e-05
217917_s_at	DYNLRB1	3.76303475177e-05
209876_at	GIT2	3.76309106594e-05
208467_at	KLF12	3.77106127308e-05
215826_x_at	ZNF835	-3.77599076745e-05
220900_at	-666	3.78170120919e-05
207320_x_at	STAU1	-3.7822879497e-05
216279_at	ZNF460	-3.80836619506e-05
220893_at	LOC57399	-3.84573413719e-05
44146_at	GMEB2	-3.84696101117e-05
201139_s_at	SSB	3.90203451505e-05
207916_at	-666	3.90981869492e-05
216236_s_at	-666	-3.93808844525e-05
216637_at	-666	3.95668102454e-05
216625_at	-666	-3.96844750087e-05
211314_at	CACNA1G	-4.02237714213e-05
216957_at	USP22	-4.04536555981e-05
221083_at	KCNQ4	-4.08975748402e-05
209144_s_at	CBFA2T2	-4.09511023658e-05
206203_at	RCVRN	4.10668248944e-05
204939_s_at	PLN	4.1101263841e-05
204355_at	DHX30	4.14847643937e-05
202581_at	-666	-4.1580678374e-05
215591_at	SATB2	4.16736292552e-05
216291_at	ZNF440	-4.21751399796e-05
216846_at	-666	-4.23247591382e-05
216087_at	-666	-4.26026306074e-05
200650_s_at	LDHA	-4.2642305605e-05
209345_s_at	PI4K2A	-4.28015339877e-05
207193_at	AGRP	-4.30225652127e-05
220674_at	CD22	4.33354422676e-05
215878_at	ITGB1	-4.33791303983e-05
222051_s_at	-666	-4.33813800095e-05
45288_at	ABHD6	4.37735344019e-05
220181_x_at	SLC30A5	-4.37834072728e-05
206460_at	AJAP1	-4.38390438319e-05
212680_x_at	PPP1R14B	-4.4436304084e-05
215809_at	CYP2D6	-4.4560035995e-05
207792_at	OPRD1	-4.50010476563e-05
219536_s_at	ZFP64	-4.5285209458e-05
216909_at	RRP12	-4.58791391738e-05
207689_at	TBX10	4.59275310062e-05
209256_s_at	KLHDC10	-4.60143972882e-05
218311_at	MAP4K3	-4.60930411024e-05
212118_at	TRIM27	-4.61044250525e-05
221338_at	LY6G6E	4.61797702827e-05
205984_at	CRHBP	4.62547041761e-05
207099_s_at	CHM	-4.64445407661e-05
221247_s_at	WBSCR16	-4.64517670053e-05
220683_at	RDH8	-4.66393699754e-05
202787_s_at	MAPKAPK3	-4.66478383786e-05
211286_x_at	CSF2RA	4.69112022517e-05
203851_at	IGFBP6	-4.71788679337e-05
217242_at	ZNF154	-4.72414964858e-05
221167_s_at	CCDC70	-4.72765203357e-05
214694_at	MPRIP	4.76946862428e-05
213623_at	KIF3A	4.7708958693e-05
208169_s_at	PTGER3	4.7979710524e-05
216756_at	-666	4.81086953364e-05
210730_s_at	NPY2R	4.81471914924e-05
201844_s_at	RYBP	-4.83596760513e-05
216424_at	CD4	4.87121166696e-05
214536_at	SLURP1	-4.92935254379e-05
220367_s_at	SAP130	-4.92989236722e-05
209317_at	POLR1C	-4.93240781746e-05
215549_x_at	CTAGE9	4.93410958069e-05
214863_at	-666	-4.97326396837e-05
202244_at	PSMB4	-5.04315358887e-05
213934_s_at	ZNF23	5.04493232275e-05
211227_s_at	PCDH11Y	-5.0810152645e-05
207985_at	-666	-5.08648529172e-05
203398_s_at	GALNT3	-5.1254711483e-05
1294_at	UBA7	5.14639175708e-05
216030_s_at	SEMG2	-5.15102054047e-05
207550_at	MPL	-5.25144285301e-05
204993_at	GNAZ	-5.39364140872e-05
207758_at	-666	-5.41083301726e-05
215496_at	SAMD4A	5.42482712504e-05
216516_at	-666	5.42596321984e-05
211187_at	-666	-5.44410160406e-05
216327_s_at	SIGLEC8	-5.4780777453e-05
211008_s_at	UBE2I	-5.48060789514e-05
215542_at	-666	5.54615307712e-05
219170_at	FSD1	5.56431860575e-05
37462_i_at	SF3A2	-5.57621567738e-05
220601_at	C16ORF70	5.58285752282e-05
222134_at	DDO	-5.60064983579e-05
209212_s_at	KLF5	5.77949642842e-05
207762_at	LPAL2	5.78195915729e-05
220277_at	CXXC4	5.83958209555e-05
206890_at	IL12RB1	5.8409599077e-05
219277_s_at	OGDHL	5.8415032495e-05
216406_at	-666	-5.8668071453e-05
217756_x_at	SERF2	-5.88785649096e-05
220328_at	PHC3	-5.91421229383e-05
207687_at	INHBC	-5.93775897065e-05
210458_s_at	TANK	5.94467102068e-05
32062_at	LRRC14	5.98080624942e-05
214628_at	NHLH1	-6.01096713732e-05
211522_s_at	GNRHR	6.01740843382e-05
220523_at	EFHC2	-6.01996009883e-05
200966_x_at	ALDOA	-6.06242194364e-05
216420_at	-666	6.07168518996e-05
216597_at	-666	-6.16372876182e-05
204884_s_at	HUS1	-6.16856214006e-05
209491_s_at	AMPD3	-6.17107390247e-05
208448_x_at	IFNA16	6.19182506798e-05
216285_at	DGCR14	6.22966367228e-05
211606_at	-666	6.25984423925e-05
218744_s_at	PACSIN3	-6.26916245195e-05
215689_s_at	SHBG	6.27223786691e-05
220699_s_at	KIF2A	-6.27360234779e-05
218230_at	ARFIP1	6.29057399665e-05
222141_at	KLHL22	6.29064860456e-05
219423_x_at	TNFRSF25	-6.31146306644e-05
207465_at	LOC100127886	-6.31867365975e-05
216240_at	PVT1	6.34000913687e-05
216055_at	PDGFB	-6.36956818361e-05
201640_x_at	CLPTM1	-6.37942188472e-05
217674_at	-666	6.45989913701e-05
215563_s_at	MST1P9	-6.49884083625e-05
204772_s_at	TTF1	6.50516432645e-05
220640_at	CSNK1G1	-6.52571232044e-05
209743_s_at	ITCH	6.59458392284e-05
214480_at	ETV3	6.61245856284e-05
217012_at	-666	-6.64609104752e-05
206713_at	NTNG1	6.70007828281e-05
210921_at	-666	-6.70611805477e-05
221376_at	FGF17	-6.72526453933e-05
208215_x_at	DRD4	-6.7316616172e-05
