	pr_gcp_histone_mark	1.0	3.162278	10.0
BI10003	H3K4me0	0.074298163395	-0.051591292255	-0.363662690545
BI10004	H3K4me1	-0.289461161294	-0.262667991129	-0.475118530817
BI10005	H3K4me2	-0.780359890318	-0.300015034686	-0.326116021548
BI10006	H3K4me3	-1.24504186005	-0.146245461436	-0.257619160106
BI10007	H3K4ac1	-0.213928293232	-0.241554944073	-0.349982029605
BI10008	H3K9me0K14ac0	0.0350137846353	-0.0808430428151	-0.0950616549582
BI10009	H3K9me1K14ac0	0.16652315934	-0.0268937644919	0.12625939595
BI10010	H3K9me2K14ac0	-0.0231550220524	0.0230019395375	0.113382375112
BI10011	H3K9me3K14ac0	-0.213217330271	-0.215446454182	-0.298267424901
BI10012	H3K9ac1K14ac0	-0.143347217782	-0.0795167246214	-0.119068179271
BI10013	H3K9me0K14ac1	-0.0671290595883	-0.269902234424	-0.509562205754
BI10014	H3K9me1K14ac1	-0.0520607811554	-0.14126096978	-0.131023533163
BI10015	H3K9me2K14ac1	-0.119057299964	-0.0457151364341	-0.154471858167
BI10016	H3K9me3K14ac1	-0.145157115405	-0.207208386528	-0.110677179073
BI10017	H3K9ac1K14ac1	-0.207155360748	-0.155204945239	-0.3527340533
BI10020	H3K9me2S10ph1K14ac0	0.516707837307	0.231725052611	-0.852254163573
BI10021	H3K9me3S10ph1K14ac0	0.162319068748	-0.215165107263	-0.800514055374
BI10025	H3K9me2S10ph1K14ac1	0.293359505927	-0.0125365622237	-0.630147842877
BI10028	H3K18ac0K23ac0	-0.155062810584	-0.0845481732827	-0.105397317517
BI10029	H3K18ac1K23ac0	-0.322650002296	-0.178864293801	-0.0641628224998
BI10030	H3K18ac0K23ac1	-0.451290531942	-0.343493486413	-0.399009481342
BI10031	H3K18ac1K23ac1	-0.337896015646	-0.224248002604	-0.203576920934
BI10032	H3K18ub1K23ac0	0.404125216303	0.090280170511	-0.43612679178
BI10034	H3K27me0K36me0	0.152443536224	0.283968580636	0.0141006275809
BI10035	H3K27me1K36me0	-0.0921833947124	-0.0411508409087	0.124269137873
BI10036	H3K27me1K36me1	0.0621067585521	0.059183467935	0.334238157191
BI10037	H3K27me1K36me2	-0.0648442065053	-0.0124708915899	0.229959473496
BI10038	H3K27me1K36me3	-0.21062522149	-0.0691455577925	0.0754926318038
BI10039	H3K27me2K36me0	-0.0589520581595	0.026776818054	0.243595696593
BI10040	H3K27me2K36me1	-0.223498951145	-0.0782640001426	0.25263787401
BI10041	H3K27me2K36me2	-0.0656869147404	-0.0175808801662	-0.0147370227814
BI10043	H3K27me3K36me0	-0.190485866189	0.0132603927237	0.185774522415
BI10044	H3K27me3K36me1	-0.34722302044	-0.0643588388864	-0.00803859729133
BI10047	H3K27ac1K36me0	0.132311591271	-0.182808889895	-0.764438959912
BI10048	H3K27ac1K36me1	0.0352194823251	-0.353605151333	-0.835389625114
BI10049	H3K27ac1K36me2	0.116760406013	-0.060264465681	-0.00710687582909
BI10050	H3K27ac1K36me3	0.14777625482	-0.0470711906864	-0.061603755175
BI10051	H3.3K27me0K36me0	0.232559938714	0.102501344187	0.244331519243
BI10052p	H3NORM(41-49)	-0.0495334588425	0.0537561463691	0.161880710875
BI10054	H3K56me0	0.297431416208	-0.0722373111543	0.214807429446
BI10060	H3K79me0	0.220167726991	-0.0754261390429	0.439521711623
BI10061	H3K79me1	0.278037677662	-0.036022283396	0.613555353153
BI10062	H3K79me2	-0.251882928035	-0.127058449075	0.110942149293
BI10085	H3K27me0K36me1	0.21350916607	0.325919828326	0.0717568602195
BI10086	H3K27me0K36me2	0.215257924205	0.109310576476	0.10099127054
BI10087	H3K27me0K36me3	0.252328914658	0.190412430197	0.169631047425
